华硕(ASUS) 天选 15.6英寸游戏笔记本电脑(新锐龙 7nm R5-4600H 16G 512GSSD GTX1650Ti 4G 144Hz)元气蓝,6299.00,华硕京东自营官方旗舰店
京品电脑荣耀笔记本电脑MagicBook 14 14英寸全面屏轻薄本（AMD锐龙5 8G 256G 多屏协同 指纹Win10）银【荣耀猎人游戏本新品上市】限时特惠500元，十代酷睿i7标压处理器+RTX2060，16.1英寸144HZ电竞理想屏，升降式风谷散热【更多新品，立即查看】,3599.00,荣耀京东自营旗舰店
"京品电脑联想(Lenovo)小新Pro13高性能轻薄本 英特尔酷睿i5 全面屏学生独显笔记本电脑(i5 16G 512G MX350高色域)银【爆款#高颜值硬实力】学生网课办公娱乐,满血CPU游戏显卡基因，低蓝光2.5K屏,100%sRGB高色域，WiFi6，智能散热调节,支持PD快充(更多尖货)",5499.00,联想京东自营旗舰店
"联想(Lenovo)小新Air14性能版轻薄本 英特尔酷睿i5 全面屏学生独显笔记本电脑(i5 16G 512G MX350 高色域)银【爆款#全金属高性能】学生网课办公娱乐,'芯'十代更强劲，游戏显卡基因，100%sRGB高色域，智能散热调节,指纹背光,接口丰富PD快充(更多尖货)",5299.00,联想京东自营旗舰店
"戴尔DELL灵越5000 14英寸酷睿i5网课学习轻薄笔记本电脑(十代i5-1035G1 8G 512G MX230 2G独显)银十代酷睿处理器,大容量空间站,支持双硬盘位拓展,512GB固态硬盘,时尚窄边框设计,IPS全高清屏。查看更多",3999.00,戴尔京东自营官方旗舰店
华为HUAWEI MateBook D 14 2020款 轻薄本笔记本电脑 7nm R5+16G+512GB 护眼全面屏 多屏协同 银9.23华为京东超级品牌日到手仅：4088元护眼全面屏|轻薄长续航|全新7nm锐龙处理器更多精彩请点击,4099.00,华为京东自营官方旗舰店
苹果Apple MacBook Air 2020新款13.3英寸苹果笔记本电脑超薄轻薄本【原装正品】 银色 【2017款】i5/8G/128G 官方标配,5499.00,Apple爱豆专卖店
华为(HUAWEI)MateBook D 14全面屏轻薄笔记本电脑多屏协同便携超级快充(i5-10210U 16G+512G 独显)银9.23华为京东超级品牌日到手仅：4988元高清全面屏，轻薄便携超级快充，更有16G大内存，实现畅爽娱乐办公新体验！更多精彩请点击,4988.00,华为京东自营官方旗舰店
"联想(Lenovo)小新15 2020性能版轻薄本英特尔酷睿i5 15.6英寸全面屏学生笔记本电脑(i5 16G 512G MX350 )银【爆款#大屏高配硬实力】学生办公娱乐,满血CPU游戏显卡基因,数字小键盘，70Wh大电池,100%sRGB高色域,指纹背光，接口丰富PD快充(更多尖货)",5299.00,联想京东自营旗舰店
京品电脑联想ThinkBook 14(09CD)英特尔酷睿i5 14英寸轻薄笔记本电脑(十代i5-1035G1 8G 512G傲腾增强型SSD 2G独显)【ThinkPad新锐时尚品牌】2万评论爆款，全新十代10nm工艺CPU；外观时尚轻薄便携；运行流畅长待机续航；窄边框高清屏；工作生活一机兼顾。,4399.00,ThinkPad京东自营旗舰店
荣耀MagicBook 14 2020新款 14英寸全面屏轻薄笔记本电脑（R5 4500U 16G 512G 7nm 多屏协同） 冰河银【荣耀猎人游戏本新品上市】限时特惠500元，十代酷睿i7标压处理器+RTX2060，16.1英寸144HZ电竞理想屏，升降式风谷散热【更多新品，立即查看】,4199.00,荣耀京东自营旗舰店
"联想(Lenovo)小新Air14 2020锐龙版轻薄本 全面屏办公笔记本电脑(6核R5-4600U 16G 512G 高色域)深空灰【爆款#全金属高性能】学生网课办公娱乐,全新7nm六核芯满血释放，100%sRGB高色域，智能散热调节,指纹背光,接口丰富PD快充(更多尖货)",4599.00,联想京东自营旗舰店
联想(Lenovo) Y9000X 拯救者 英特尔酷睿i7 15.6英寸手提超轻薄笔记本电脑游戏本 I7-9750H 16G内存 1TB大固态,7998.00,联想华北授权专卖店
华为(HUAWEI)MateBook D 15全面屏轻薄笔记本电脑多屏协同便携超级快充(十代酷睿i5 16G+512G 独显)银9.23华为京东超级品牌日到手仅：4988元高清全面屏，轻薄便携超级快充，更有16G大内存，实现畅爽娱乐办公新体验！更多精彩请点击,4999.00,华为京东自营官方旗舰店
