视频cid,弹幕内容
221665854,计策呢？
221665854,？
221473885,再也不喝可口可乐了。再也不买耐克！！！
221473885,再也不看美剧了
221473885,抵制美货
221498042,戛（嘎）然而止？？
221498042,第一个弹幕
221498042,没有人抵制一下？
221498042,还有QQ呢  不怕
221498042,？？？戛（ga)然而止???????????
221552412,是该对美国公司清洗了吧
221552412,无法理解特没谱的行为
221552412,Google和脸书，推特 不是也被禁了吗？
221552412,因为Google和Facebook放弃进入了
221552412,得道多助失道寡助！说得好
221552412,中国加油
221552412,别给他们讲我们老祖宗的大道理他们不懂
221505100,1
221505100,1
221505100,精神美国人 了解了
221505100,1
221505100,不，不一样，扎克伯格屁股坐的不歪，对标有问题。
221505100,我要这些都有  还去他那边努力做手下？  我可不想甘于平凡  做人小弟？  
221505100,段友啊？
221505100,1
221505100,1
221505100,蹭什么热度
221505100,不想听你聊
221505100,精神美国人
221505100,张一鸣有跪舔美利坚的自由，你们不要过分联想。
221505100,张一跪
221505100,1
221505100,抖音国际卖了，国内版我们让他死，最后张一鸣还有什么，只剩下钱和他的想法。
221505100,6粉丝
221505100,1
221505100,你把扎克伯格拿来和张比 你不觉得你在侮辱别人吗？
221505100,是一个跪的挺快的人。
221505100,跪了 就很难站起来了
221505100,恶心人
221505100,大舌头？
221505100,纯公知，举报！
221505100,不要乱比较。。谁知道被比较的高不高兴
221505100,跪的也是极快的
221505100,一跪惊人，
221505100,删
221505100,有钱拿。。。你学没白上
221505100,删回复挺快的嘛
221505100,怎么解释滑跪、秒跪？？
221505100,怎么解释滑跪？
221505100,怎么解释秒足危？？
221505100,足危好啊，鳖动
221505100,足危稳当，显孝心
221505100,足危稳当，显孝心
221505100,现在流量也是这个价
221505100,举报了拜拜了哈儿
221505100,有没有国家概念
221505100,滚一边去吧
221505100,跪奴！
221505100,然后跪了
221505100,你这个热点蹭的就恶心人了
221505100,可劲洗 
221505100,开始洗了
221505100,80被冒犯了吧
221505100,9个粉丝还来洗？
221505100,抖音是抄的火山还是啥？
221505100,干啥啥不行的感觉
221505100,全都没听过
221505100,？
221505100,没可能，既然打算卖了，深思熟虑是没有路子了，你看到的路子都是别人的，他还是没辙
221505100,？？？？？？
221505100,别洗好吧？？？？？？？
221627945,1
221627945,换手机啊
221627945,换手机
221627945,国内肯定还能用呀，营销号即视感
221627945,废话，肯定换手机呀，不换咋弄？
196467477,双标
196467477,这女的完全是用特朗普的思维方式回答问题
196467477,行动真快。还三权分立。我看全是他一人说了算
196467477,真是胡扯
196467477,Jim
196467477,说得对
196467477,这秘书应该和川普～
196467477,消毒剂喝多了吧
196467477,信川普得永生
196467477,这不自由啊。
196467477,Drone 
196467477,Jim还是peter？
196467477,好狗
196467477,养的不赖
196467477,特朗普已经把白宫的人换成了他的狗腿子
196467477,暖床丫头
196467477,10多万个生命都没了，着想个屁
196467477,狗咬狗
196467477,老阴阳家了
196467477,不自由啊这个
196467477,都是为了你们好 
196467477,特朗普门提前预订
196467477,是人吗
196467477,言论不自由了？
196467477,cnn的fake news
196467477,哈哈哈哈哈哈哈
196467477,狗咬狗
196467477,美国驰名双标
196467477,手风琴学徒
196467477,学的精髓
196467477,暖床丫头
196467477,被特朗普收买了
196467477,老双标了
196467477,推特好样的
196467477,艺苑风景线
196467477,偷换概念，说你呢，你不回答反而说我？
196467477,哈哈哈
196467477,这么营销号的bgm
196467477,freedom
196467477,支持率从49%下降6个百分点
196467477,气冷抖
196467477,那就是承认说过咯
196467477,川败国；这很美利奸
196467477,不是言论自由吗？老特？
196467477,谁让你们封我账号
196467477,除了美国治安，国家安全，经济问题。没有其他需要思考的，
196467477,从进化论思维，特朗普外表没有什么不好的。
196467477,很多东西，你在美国，你自己决定。但是不要引发众怒。
196467477,这个小姐姐我可以
196467477,歪鼻子。
210314068,为什么老是拉长音
42950339,不是你执行的么，现在打脸？
42950339,有点苕，鬼人
42950339,前两天洗地的这个月的奖金没了
42950339,NO！
42950339,政令是特朗普发的，川普撤销的
42950339,朝令夕改
42950339,承认了人权问题呗
42950339,真任性
42950339,哈哈哈哈
42950339,骨肉相连？
42950339,脸疼吗
42950339,这种移民政策能理解，但是做法，实在是太偏激了
42950339,这位先生，你把穷人想的太脆弱了
42950339,以前是只关押大人，现在是大人小孩一起关押....
42950339,有错别字！你们在发视频前能不能校对一下？
42950339,自己下令执行 然后翻脸叫停 然后吹自己一波
42950339,看成bilibili.........
42950339,什么时候连火尧烤也要管了？(滑稽)
42950339,6666
42950339,233
42950339,被下面人骂了
42950339,现在的已经不关心精神创伤了吗？
42950339,我先复习一下
42950339,请注意，不是不抓了，而是“今后将把非法入境者与其未成年子女一起拘押，而不是将其未成年子女另行安置”
