id,content,nick,score,startTime
1124714442,很好看，不错,PDT306988028,9,1614268560000
1124715362,真的是很不错的一部电影 就是拍片太少,赵哈哈,10,1614268560000
1124718165,很值得看的电影,陈海棠,10,1614268500000
1124717714,真的很好看啊 我觉得比李焕英好看 ,Yíng、,10,1614268440000
1124717706,不错   好,疯人願you,10,1614268440000
1124718135,终于看到这场电影了!完美人生!完美结果!值得一看!,ozg972569665,9,1614268380000
1124717693,不错，挺好看的,A西藏阮恒商贸有限公司,10,1614268380000
1124692176,说实话，春节档基本看万了，这部片，个人感觉是最好的👌！！！,apm563805970,10,1614268320000
1124718096,电影院实测，的确是一部好电影，几位主演和非主演演员演技绝对杠杠的，故事情节也非常紧凑，中间穿插反转和喜剧元素，值得看的一部实力好电影。,赵兟甡,10,1614268320000
1124718090,好看的,蹦迪去？,9,1614268320000
1124715288,太棒了👏超赞的的一部电影🎬,Emma560,10,1614268260000
1124687516,有创新  好评,国之栋梁呀,10,1614268260000
1124692166,喜欢我的偶像，❤️华仔,Z唯一,10,1614268200000
1124717605,肖央演技真不错，爱华仔,BCR262226029,10,1614268200000
1124671878,电影好看就是电影院隔音不好,tZM649579208,10,1614268140000
1124687509,非常好看，秒杀唐探3还有李焕英,随机人工智障,10,1614268140000
1124714348,棒棒棒    希望自己也可以遇见哈哈哈哈,陈奕迅耶,10,1614268140000
1124717588,"非常好看！很有意思
",汪旭东的家,10,1614268080000
1124687501,剧情很好，几条线索错综复杂，扣人心弦，比唐人街好好几倍,阔步,8,1614268020000
1124712341,"和表姐去看的人物关系和感情没太在意,就顾着笑了😂
 。还是比较推荐去看的  华仔演技一级棒👍🏻",月🌕,10,1614267960000
1124714286,很不错的影片，都是实力演员，演技在线，排片场次应该增加,春言春语,10,1614267960000
1124713932,挺好看的喜欢 ,-🌞-,10,1614267900000
1124714265,刘德华演技在线 颜值在线 电影题材也不错,闹闹ydc,10,1614267900000
1124684328,"这部电影虽然是翻拍日本的《盗钥匙的方法》，原版我没看过，但我相信这部翻拍肯定是融合了我们本土特色。比如两个上海人吵架，比如四川话，比如喜剧之王经典，乌蝇哥经典等等，还是很搞笑的。
刘德华真的是帅气，一转眼他年纪都这么大了，时间真是没给人思考的余地，一直在行走。看以前的港片，再看现在的刘德华，虽然脸上皱纹多了，但那份气质还是如年轻时一样，所以还是帅气逼人啊～
万茜很漂亮，肖央演的也很好，大家的演技都很棒，为这部片子增彩。
感觉这部片子还有在向刘德华表达他对影视的贡献以及他作为一个演员，真正做到了一直努力认真拼搏，在向他致敬。里面导演对群演刘德华说的那段话，我觉得就是说给刘德华本人的。刘德华受众多的人喜爱是有道理的，努力奋斗的人总会值得人尊敬。
还有就是这部电影里的感情线，刘德华和万茜。完全当下社会成年人成熟的感情思维与现状，很容易引起人们共鸣，让人非常感动。
",旗木五五开,9,1614267900000
1124713897,好看大咖就是大咖永远支持,FF方方💞🍀🍀,9,1614267840000
1124714242,只能说一般般,TtC676388126,5,1614267840000
1124713885,作为华仔的球迷表示太赞了！,TLZ520329197,10,1614267840000
1124714230,有华仔值回票价了 情节很好,Atuudry,10,1614267840000
1123767673,还不错，个人认为这几部质量最好的,勿μ初心,10,1614267780000
1124713852,所有分数 是给刘德华的 经得起岁月 华仔没老  我居然在这个电影中看到了一丝感动 有几处 处理让人 挺戳心管子的 作为一部翻拍片  其实剧本已经很成熟了 但是容人本土文化后 也居然做的挺好的 肖央的怂 真的是 让歌手耽误的好演员吧 说回华仔 这个电影里 挺多 情怀 天若有情  旺角卡门  喜剧之王 当华仔 胯上 摩托车的时候 突然感觉 一个时代又回来了 或者说 那个时代就没有走  致敬华仔 给那个时代 给这部电影,gezhongci,8,1614267720000
1124692136,虽然看过了日本的，这是翻拍的，但不得不说确实是今年最好看的电影。,ViO280658602,9,1614267720000
1124712266,好，蛮不错的,团团0圓圓,10,1614267660000
