id,content,nick,score,startTime
1124715352,"好看，有感动到
",cWE198841272,9,1614268500000
1124717719,挺好看的，推荐！,baby爽儿,9,1614268500000
1124715350,很好看，很感人,爆脾气的姑娘,10,1614268500000
1124681474,"值得一看。
",fsn403794767,10,1614268440000
1124717707,真情实感 赞！,SQm436968956,10,1614268440000
1124714422,"想看很久了，一直没有机会，今天终于有空去看了，太好看了，今天自己一个人去的，等哪天有机会和朋友们在去一次
", 九欢,10,1614268440000
1124718145,剧情有点拖沓，总体来说还是感人的,红豆,8,1614268440000
1124712474,超级好看，棒,陌景凉1123,10,1614268380000
1124715328,看完之后感触颇深,李家姑娘1127,9,1614268380000
1124714407,好看的，笑点也很多,LiI漫漫呀,10,1614268380000
1124714405,挺好的   觉得很有感触,郭蕊娟,10,1614268380000
1124681466,说实话，很喜欢贾玲，但是，后半段的强行卖哭，唉。。。有点做作。,mOR630108595,5,1614268380000
1124717676,孩子觉得好看.我觉得一般,GsD490634992,9,1614268380000
1124718082,剧情搞笑。感人至深！剧情衔接的也很严谨,深深，一口气,10,1614268320000
1124718109,唤起年代感，先有笑后有感动的泪，平凡的世界平凡的生活中的温情，不是大起大落的一时刺激，但是有细水长流的回味，有值得一看。,h方,10,1614268320000
1124718108,完美→_→.,NLd658275392,10,1614268320000
1124717658,好看感人肺腑,惠love蕾,10,1614268320000
1124692175,前半部分跟着笑后半部分跟着哭，好看！,TTy912146755,10,1614268320000
1124671889,没感觉和网上传的那么好，还可以,xtR531805932,8,1614268260000
1124718081,好看，特别感人，催人泪下！,从心开始,9,1614268260000
1124712440,还不错挺感人的,Me周宁波,9,1614268260000
1124567771,蛮好看的。。,UGT289576746,10,1614268260000
1124692172,还可以，前面感动，后面泪人,ZpC169785576,8,1614268260000
1124714378,跟小时候幻想的一样，谢谢玲姐，算是帮我圆梦了。,B_L_谢,10,1614268260000
1124718071,好久没有什么电影能让我这么哭过了，做为一个大老爷们被这剧情彻底沦陷……,白菜泡椒凤爪,9,1614268260000
1124687519,真的非常非常喜欢,vpR942277952,9,1614268260000
1124712428,很好看的电影,琳子兮,10,1614268260000
1124692169,笑着，笑着就哭了,aDB954058259,10,1614268200000
1124712419,不错 有惊喜,CroissantQ,9,1614268200000
1124717618,剧情一般，看到评分那么高，看完后未达到预期， 第一次当导演还可以了，不过还得注意细节，割完那么多稻子不流一滴汗也是厉害了呀！,UMO407160048,5,1614268200000
1124692167,开篇搞笑，结尾催人泪下，母爱是伟大的，母爱是无私的，愿天下所有的母亲健康快乐！,开心小杜008,10,1614268200000
1124712404,不是特别好空间不大,MaU605671833,5,1614268200000
1124712395,真的不好看啊，全剧笑点太少了，大多数剧情感觉就像流水账一样，结尾反转得很让人意外，不过我给一星纯粹是为了降低评分,道是无情却有情,1,1614268140000
1124684354,剧情真的不太连贯，情节有些硬发展，搞笑的片段都在抖音上，对剧情发展基本没有多大作用，划船那段不错搞笑。,best1223,6,1614268080000
1124717589,挺好看的，有太多泪点了,Eʟɪᴀᴜᴋ.,10,1614268080000
1124671874,总体来说还不错！毕竟第一次导演。有笑点也有泪点！确实剧情有些脱节奏，有些地方也很生硬。更大的问题应该是代入感，有些朋友可能理解不了那种环境下的母子关系，8分实属应当。,庚二,8,1614268080000
1124714334,感人至深，值得一看,地主与长工,10,1614268080000
1124718009,我和儿子都感动哭了,西瓜夫人511,9,1614268080000
1124712367, 其实我感觉这部电影真的一部很值得看的电影，很有趣，也很值得深思。其实这部剧没有什么很戳中泪点的部分，但是就是看着看着眼泪就不自觉往下掉，有可能它把我们心目中对妈妈的愧疚表现的很不错。,晁菲菲,9,1614268020000
1124692159,真心不错！可以看出是发自内心的演出,认识就是缘份,10,1614268020000
1124715238,很不错，能勾起人心中的情感,uzz818494988,9,1614268020000
1124717537,很有时代感，非常棒的一部电影,曹科颖,10,1614268020000
1124684346,想起来自己的妈妈,糊涂蛋蛋儿,9,1614268020000
1124713984,非常好看的电影,我爱我家时尚小猪,10,1614268020000
1124714306,好看，不错👍,李CHUYUN,10,1614268020000
1124713979,非常好看 看哭了都 ,ZpV585515403,10,1614267960000
1124714302,故事并不复杂，可是就是这样才把感情表达的很充沛，不浮夸，有笑有泪，很好的电影,kleinrain,10,1614267960000
1124713973,结尾反转很好，有点感人。贾玲加油,gDm465180837,9,1614267960000
1124714295,实不相瞒，不值票价,深蓝色的冰,1,1614267960000
1124715215,很感人，很有意义的一部电影,高妹0101,10,1614267960000
1124713962,电影很好看 身边的女孩也是 希望最后能好好的在一起 加油加油加油,KK,10,1614267960000
1124687493,"看电影最害怕的就是一句“本影片按真实事件改编”

在观看《你好，李焕英》之中，虽然不是像网上说那样哭的很厉害 但也是掉了好几颗眼泪。看完发现，这并不是一部很感人的影片，她并不赚大家的眼泪，纵观全局你会发现她实在就是一出喜剧，很有贾玲的风格。而为什么要说她像一部喜剧呢，因为我通篇看下来回到家瘫床上回想起来呢突然发现我就记住了一个特点，贾玲和李焕英都很爱笑，笑起来都特别甜，特别阳光。

挺推荐大家去看看的✨✨✨👍",san、芊芊,10,1614267960000
1124715210,很有启迪意义,HDR669645302,9,1614267960000
1124713950,可以 很感人 前程笑后程哭,cKl794893107,9,1614267960000
1124715202,没什么好感动的就挺搞笑,你宝贝。,1,1614267900000
1124713946,没有去看，还不退钱,欣儿💞,2,1614267900000
1124713940,前面还行，后面都什么和什么，水军是真多,楊,6,1614267900000
1124692150,感动，我很喜欢。,kkyu~,10,1614267900000
1124715187,只能给9.9分，还有0.1分是那近10分钟的广告,月风轩,10,1614267900000
1124717479,很好看，加油,zhujiawen0417,10,1614267900000
1124681431,特别好看真的很精彩,d56652,10,1614267900000
1124712301,太棒的一部剧了,AHp976549282,9,1614267840000
1124714243,好看  好笑也感动,shinki0924,10,1614267840000
1124717461,题材不错，挺感人。,OCs573930086,10,1614267840000
1124715175,去之前我老公说，绝对不会哭的，听到那句我宝，眼泪瞬间就忍不住了。当了妈妈之后泪点就低，这种电影都不敢碰，但是还是觉得要去看看，当初那个小品就给哭惨了，电影更是哭的出不来气，不管是作为妈妈，还是作为女儿都觉得很有必要去看看，当反应过来妈妈也是穿越来的，就一直哭一直哭。看的是晚场的，十一点回来八个月的女儿还没睡，听到我们就哭了，抱到怀里就笑了，感觉给再多的爱都不够，这应该是每个妈妈都会有的感触吧。,小欢,10,1614267840000
1124671847,一直贾玲导演作品，很好看,小白badboy,10,1614267780000
1124714211,挺感动的 这是一部很怀旧的电影🎬 讲述着故人与自己的生活 有泪点 也有笑点 有鼓励 值得一看,小小杨Baby.,10,1614267780000
1124714210,比预料的好，但是泪点还是没有预期的巧妙，眼睛微热但是还是没哭出来！,kingluluj,8,1614267780000
1124713865,前半部分是开心 搞笑 后半部分是感动 真的 母女都是为对方着想 跟现在的我们一样,二氵木壹,10,1614267720000
1124717429,很棒，哭得很厉害👍,沐晨雪,9,1614267720000
1124671841,还可以     ,A稳妥旭,10,1614267720000
1124715133,"非常的幽默
",A goni,10,1614267720000
1124714200,比期待差很多,是丸子同学呐,4,1614267720000
1124712276,好看，感人泪下,A.义乌军洋车行 18767920268,10,1614267720000
1124712270,超级好看 先的小品都是看过一点儿的 看的眼泪忍不住的往外流,l佛系仙女,10,1614267660000
1124717406,很感人，不错,gYT240424173,10,1614267660000
1124717403,还是挺感人的，很好看,肖战wdzjl,10,1614267660000
1124714179,好看！！！看哭了但是眼妆没哭花！,王源吖！,10,1614267660000
1124712250,太好了，前期笑死后来哭死,zl,10,1614267600000
1124714166,很棒，直接看哭了😭 ,淡定,10,1614267600000
1124714162,还算挺不错的,u1Tt7,9,1614267600000
1124712217,不好看一点也不感人,kRL393056966,0,1614267480000
1124715091,非常好，很感动，故事线很紧凑,Wovo🐑,10,1614267480000
1124671825,很感人，最后怕哭用手机转移注意力,艾米小拇指的约定,9,1614267480000
1124712205,这是喜剧吗？哎,最好的安排。,1,1614267420000
1124717334,剧情很好，很感人！,kMC795680688,9,1614267420000
1124687449,真的非常好！值得！,Litost筱攸,10,1614267420000
1124713756,演技剧本都在线，但是感觉没有吹的那么完美。,KCG208493043,8,1614267420000
1124717324,不愧是贾玲 没让人失望 无论是笑点还是细节都特别打动人心,九条亚衣子,10,1614267420000
1124713742,好看 感人 ,本溪五道凯,10,1614267360000
1124714107,真的好看的很呀,刻骨铭辛,10,1614267360000
1124713736,后十分钟催泪,黄瓜拍黄瓜,8,1614267360000
1124713735,不错👍很值得一看,W一bo85,10,1614267360000
1124713733,感受到贾玲的真诚了，片子导的不错，但是她毕竟不是专业的演员，哭戏不够感染人，导致后面我入不了戏。总的来说，不错，值得鼓励,邓小闲,8,1614267360000
1124717291,太感动了，太好看了，,我叫张筱逗172,10,1614267360000
1124715072,不错！喜剧，搞笑，结尾还有感动！,老姜,10,1614267300000
1124714095,可以不错的(*๓´╰╯`๓)♡,帝国修罗,9,1614267300000
1124712182,超好看！很喜欢！特别喜欢剧情！真的很感人！,闵爷.,10,1614267300000
1124713728,不错，快乐悲伤都有,hxJ837611067,9,1614267300000
1124713726,给某人看哭了,春夏秋冬,10,1614267300000
1124713725,作为一个四十岁的老男人，看完之后带入感很强，哭的稀里哗啦的,aXT775215726,10,1614267300000
1124713718,剧情设计不错，有大笑，也有伤感，很好的一部电影！赞,Cheung.Y,10,1614267300000
1124715061,感觉还可以，喜欢贾玲跟沈腾，剧情还是挺搞笑的，最后也很煽情，电影最后贾玲居是唯一一次她演哭会觉得很伤心的时候，平时一哭都觉得搞笑。,椰子女孩725,8,1614267300000
1124715060,"挺好看的，
",Wql我心飞翔,9,1614267300000
1124714076,退票了，去看了三遍广告，拖延半个小时都放不出来,A亿丰名车&李翠珍,1,1614267240000
1124717256,我能让你更高兴,lWN758255864,8,1614267240000
1124713699,还行   剧情简单但很煽情,李亚薇,8,1614267240000
1124717248,真的好看，没有想到后面是妈妈跟女儿一起穿越了,赵听书,10,1614267240000
1124692113,好滴很啦，太棒呢,wili萌萌哒,9,1614267240000
1124717247,记得带纸巾。,gKz650591263,10,1614267240000
1124717236,贾玲哭个屁。,calmly,1,1614267180000
1124712135,前面笑多狠 后面就哭多惨,Sina吖,10,1614267180000
1124715028,故事真实感人，笑中有泪，祝福天下所有人的母亲健康快乐！,大业,8,1614267180000
1124717213,我怎么看完了觉得很一般啊？有点看小品的感觉,Polywises,5,1614267180000
1124681389,很搞笑也很感人,Qzu485833378,10,1614267120000
1124713657,见仁见智。对我来说并没有期待的那么好,Liambo,1,1614267120000
1124687433,不错，比较喜欢,qi饱饱的,9,1614267120000
1124692106,我认为《你好，李焕英》这部影片难能可贵的是它所表达出来的情感。这是一部贾玲为了纪念她去世的母亲所拍的一部电影。而在现实生活当中，贾玲因为母亲去世没有能来得及见到最后一面给她留下了永久的遗憾。而她通过这样的方式，用她的亲身经历来告诉观众对于父母和子女的爱，我们一定要表达出来，不要让自己留有遗憾。,笨笨鼠x,10,1614267120000
