id,content,nick,score,startTime
1124718146,特效不错，好看,〤小饭团,10,1614268440000
1124718132,不错   好,疯人願you,10,1614268380000
1124714377,挺好的，故事情节很新颖,三万岁,10,1614268380000
1124714380,没剧情 没特效 这辈子看的最没意思的电影没有之一 八点多分怎么来的？,magicianzn,1,1614268260000
1124714362,特效不错哦！,yuanjianghong,9,1614268200000
1124712398,如果没有现代的插入会更好,。Y,8,1614268140000
1124681452,这部电影很好看，是一部入睡的佳片，就是最后有点吵，花50块还睡不安稳，这样就很不好,_qqkc51373684103,10,1614268140000
1124714346,太好看了，很有感觉,Hoi508726514,10,1614268140000
1124712379,呜呜呜杨幂好帅我好喜欢！！董子健这个四川话还可以哈哈哈哈哈哈哈,程楚楚小c,10,1614268080000
1124717543,好看！内容还可以,rXC634479841,7,1614268020000
1124715230,配上4dx的效果还是挺爽的,cGf613919795,9,1614268020000
1124681440,不错不错，爱辽,rTc308788312,10,1614267960000
1124717463,台词有点那啥了吧,ᴀᴜɢᴜsᴛ,6,1614267840000
1124713863,画面感很好，故事也很感人，剧情衔接很紧密，环环相扣，去试试人间大炮吧,五条~悟,9,1614267720000
1124715139,很好看！值得一看！,Wmd243720261,10,1614267720000
1124687467,我就不知道最后结尾那句冒蓝火的加特林是咋回事，强行安插角色，剧情缺漏太多，好多故事脉络要靠观众去猜，特效可以，剧情算了吧,Mr,1,1614267720000
1124687466,不是很好看，3d奥斯卡有点昏,江祁川,7,1614267660000
1124717399,这个也还可以,xcj324417898,10,1614267660000
1124717383,3D画面感很强 好几次被吓到 最后有喜剧成分 父爱如山,IFx896491401,10,1614267600000
1124712229,很值得一看的电影,创意小超,10,1614267540000
1124713782,除了特效一无所有，真难看，谁瞌谁后悔,唉这个世界,1,1614267480000
1124717321,小橘子叫爸爸的时候我就忍不住想答应，印象最深的就是给你写个带劲的，见过冒蓝火的加特林嘛笑死了特训都是在砸钱笑死了哈哈哈,落幕,10,1614267420000
1124713741,感觉一般般...有点拖拉，就意料之中但缓慢进行。也还不错，有惊喜的地方，比如加特林...,吳加俊,6,1614267360000
1124715056,真的很好看！无论是剧情还是演员的演技，都令人眼前一亮。让我印象深刻的便是雷佳音所饰演的角色，在他身上淋漓精致地表现出一位父亲的无助，父爱的天性都是伟大的，为了小橘子他不顾一切，即便是去杀一个人，他的本性善良，可为了孩子他别无选择，途中他所表现出的挣扎痛苦，令人揪心的同时也赞叹他的演技！其次便是董子健所饰演的路空文，简直令人难以忘怀！！太赞了！,吸不吸,10,1614267300000
1124713694,有点没太看懂,强牌陶瓷马芳18993600086,8,1614267240000
1124712148,一般，特效是真的棒，被郭京飞配音的铠甲吸引住了！结局有点ooc的感觉，也能理解是剧情原因，但有点过于搞笑了。,樱桃不喜欢丸子,7,1614267240000
