id,content,nick,score,startTime
1124714434,元素少一点，悬疑感加强会好很多,Because of you,5,1614268500000
1124712486,没有一二部好看 ,充电宝与发电机,9,1614268440000
1120991981,唐探3好多地方不符合情理，而且日语好多翻译的有问题，真不好看👎我懂日语的，感觉剧情又滑稽又可笑。日本黑社会找来的全是老年人，里面没有真正的黑社会组员，说日本黑社会都老年化了，这梗不好笑。奸杀犯村田昭3亿日元赎金不要（2000万人民币），非要200万美金（1300万人民币），脑c吗？把在日本花火大会上的烟花视频剪辑放到电影里，是为了省钱吗？把日本遗孤写的这么B惨，男人只能当黑社会老婆只能卖身吗？日本遗孤在中国东北娶妻生子，小林杏奈她们娘俩也应该算是中国人吧。小林杏奈妈妈用身体换一碗面，这是在侮辱日本人呐还是中国人呐？【小林杏奈中文名严佩苗，出生于1981年5月的绥化，父亲是日本遗孤，1983年随父母返日，生活窘迫。1986年重病，父亲因需要钱给她治病，被迫答应祖父，抛妻弃女，与黑老大独女结婚。母女流落街头。母亲为了她去偷去抢去卖，被逮捕，1988年在狱中病故。】护士站那，让女护士看恐怖片来渲染停尸房的恐怖气氛，吓唬谁呢？女护士被狂揍，不死也够呛了，这太恶搞了。电梯间里狂揍女护士，这是对医护工作者应有的尊重吗？我想问问，全是日本话，你字幕看的不累吗？考虑过老人、小孩的观影感受了吗？垃圾。,XxL186896144,1,1614268440000
1124714416,还可以╮(￣▽￣)╭,BjE585301242,8,1614268440000
1124718129,想对比前两部而言，情节没那么紧凑,夜夜夜夜夜see,8,1614268380000
1124684365,好看，又搞笑,阿华,10,1614268380000
1124715309,感觉导演对故事的内容已经有点后劲不足了,平凡人2940,9,1614268320000
1124714395,好看，好笑！期盼唐探4早日见面！,七夕,10,1614268320000
1124718095,非常好看.大人孩子都喜欢,GsD490634992,10,1614268320000
1124715298,很好看啊❤️ 还是爱的那个唐人，四个人穿墨绿色的外套帅爆了，一出场，惊艳到我了😍 ,明朝又一日,10,1614268320000
