id,content,nick,score,startTime
1124671895,小朋友喜欢就好,cWE198841272,8,1614268500000
1124717567,电影挺棒的，，,VPI63657184,9,1614268020000
1124705935,挺好的，有感,小仙子，呀,7,1614266400000
1124705892,适合孩子看，有一段情节还挺催泪的,奶油小骨头dd,9,1614266220000
1124681333,孩子挺喜欢看的，,CXL818011589,10,1614266220000
1124707704,太喜欢看了，有机会还去,love19780227,10,1614266040000
1124713129,整体还可以，不错,西西880508,9,1614265980000
1124708993,还好 陪女儿看的,周又悠然,7,1614265620000
1124708711,地方不好，不会再去了。进门时测体温不说你们要带口罩，等你进场就必须要带口罩才能进去了，耽误观看时间，（没口罩不能进去观看，只能到他们进门测体温的地方去买口罩）黑心地方不推荐去。,CYi694854408,6,1614265140000
1124709096,"电影非常好看
",oQM501044212,10,1614264780000
1124707269,孩子喜欢。。,Lrc129064012,7,1614264660000
1124706126,好看，小孩很喜欢😘,Lwr677322862,10,1614264300000
1124704794,非常好看，我小孩很喜欢,mxy599975170,10,1614264240000
1124707055,太好看了……孩子的评价,Zhangyan96785,9,1614264180000
1124708114,非常好，很好，,lcf.lcy521,10,1614264000000
1124704685,好看，情节紧凑，小孩看得特别认真，伴随着阵阵欢笑声！,思媛Merry,9,1614264000000
1124687120,是好看的哦。,vx01,9,1614263700000
1124704276,还可以吧    孩子看着还行,稳妥de姑娘,9,1614263280000
1124702683,陪小朋友看的，还行吧,yTs840282053,9,1614263220000
1124703511,比较科技片，没前几部电影那么搞笑,🐶,8,1614262860000
1124664727,还可以获得感而发,HTw351681518,9,1614262620000
1124699507,好看，非常棒,XXR952929463,10,1614262440000
1124700354,好看 剧情好看 孩子喜欢,美的一刻,10,1614262200000
1124699366,好看，孩子看明白了其中的道理,sjemilysj,9,1614262020000
1124659892,孩子很喜欢，每年必看,xin283676757,10,1614261720000
1124700150,小孩看不下去，有点惧怕。,李先生,2,1614261660000
1124567616,儿子很喜欢看,mVe364799692,7,1614261660000
1124697720,很好看、孩子喜欢💕,Yml105045203,10,1614261420000
1124701178,好看的，孩子爱看,浅浅嫣然笑。,10,1614261240000
1124695867,电影挺好看的,cyq7777777,8,1614261120000
