id,content,nick,score,startTime
1124671631,婚礼策划人凯拉对酒店出现老鼠头痛不已，于是聘请汤姆来赶走杰瑞，熟悉的欢喜冤家就此展开新一轮的猫鼠大战,加菲猫钓钓鱼,10,1614264780000
1124703634,很期待，😏😏,iDC116499491,10,1614263160000
1124664654,谁要，明天，九点五十的场次，大明宫万达广场，的票，五十元，两人,黑猫警长😼,0,1614261780000
1124695930,预告看完让我想起了以前乔丹演的大灌篮，也是这种风格，好像都是华纳家的IP，里面的动画人物都是特效做的，还挺有意思的。本身小时候也挺喜欢杰瑞和汤姆的，打算周五元宵节上了去看看。,杨杨,10,1614261240000
1124697152,我们家到现在还有猫和老鼠的碟片，虽然已经不能播放了，但依然保存着，这次真人+动画版大电影上映对我来说着实有很多惊喜，汤姆跟杰瑞竟然都要世纪大和解了，超赞,蘑菇小象的,0,1614260220000
1124690338,一看画面就是搞笑的，竟然是电影，也想去看，不知道70后的有没有去看的🙈,Sunny（海峰）,10,1614257040000
1124642781,30了，还想去看╮(‵▽′)╭,Sword,10,1614254460000
1124567411,小时候最记忆深刻就是汤姆杰瑞和斯派克斗牛犬三冤家互相照顾，后来还是因为一块肉分赃不均继续干架。所以，虽然大电影预告里有汤姆和杰瑞的首次银幕合作，但估计最后还是会打成一片，老话冤家路窄可不是白说的,xzn1751,10,1614252780000
1124677606,猫和老鼠，我小时候还有一套DVD的碟。爸妈奖励的,hy猫鱼君,10,1614252420000
1124677506,总觉得真人版比动画版本少了点灵动，多了些尴尬,清楓淚,0,1614252180000
1124678015,童年回忆!!,独上莲舟～,10,1614252000000
1124676730,明天开始，《猫和老鼠》全权接管票房,tGM835161833,0,1614251400000
1124674625,还没看 我跟我姥姥说的时候 她说我脑子坏掉了 这么大还看猫和老鼠 那当然啦 小时候课间老师总放 那可是童年啊,迪士尼在逃饭公主,10,1614250980000
1124675320,"看预告欢喜冤家相爱相杀还是一如既往的搞笑，这次还加盟了我最爱的超杀女和超搞笑的蚁人啰嗦大叔！元宵节首映我来了！小时候看的四川方言版，打算选个中文配音版的场次找找儿时的赶脚
",我行我素,10,1614250740000
1124668661,是普通话还是英文版啊？,渡川.💭,0,1614248220000
1124668505,猫和老鼠可是我童年最喜欢的动画之一，看到现在要出电影版了，我必须要去支持，童年经典回忆，好怀念小时候守在打屁股电视机前看动画片的时光啊,XXr996994510,10,1614247860000
1124632596,非常好看，挺感人的,快乐的童年850,10,1614245880000
1124633327,好想去看很期待,锋锋,10,1614244920000
1124663377,"杰瑞和汤姆这对欢喜冤家应该是我追的最早的动画CP了哈哈哈哈哈，没想到这次直接官方认证全世界最长情的CP，华纳霸霸懂我！
",Chen+,10,1614244860000
1124656608,超级好看！强烈推荐！,乖巧小蝌蚪,10,1614243000000
1124649904,岁岁年年催人老，童年回忆把心绕。这次猫和老鼠大电影的上映，算是圆了很多人童年的梦。除了汤姆和杰瑞之外，斯派克、美人猫、流浪猫铁三角都在，元宵节首映冲鸭！,池鱼,10,1614241440000
1117122773,《猫和老鼠》必须是我们这代人心中的经典之作，承载了太多的欢声笑语，那时候特为汤姆叫屈，怎么抓只老鼠这么难呀，但又非常佩服杰瑞的机灵劲，简直太会了，现在手机里还存着一堆他俩的表情包呐！,ZACK菅菅,10,1614238020000
1124641938,我的快乐又回来了😃 😃 😃 ,阿sir,10,1614237600000
1117125629,小时候看猫和老鼠的时候，觉得他们智商、技术赶超人类，无论是汤姆为了捕捉杰瑞设置的各种陷阱，还是杰瑞见招拆招都太奇妙了，佩服编剧，现在虽然已经长大了，还是非常期待大电影能在2月26日元宵节上映,爱情保卫苦海,10,1614235980000
1116971604,小时候看猫和老鼠，就励志要像杰瑞一样做一个超级聪明的人，但是长大以后觉得其实憨憨的人也挺好，电影版猫和老鼠，元宵节必须安排一下,z桔子片,10,1614235980000
1124603490,我的童年就是猫和老鼠，除了原版之外，当时还把各个方言配音版都看了个遍，这次真的是爷童回！看一遍英文原版再看一遍中文配音版，冲冲冲冲冲冲冲！,古月西风,10,1614232500000
1124603425,《猫和老鼠》算是我童年最有逼格的动画片了，世界经典名曲启蒙，拿过7个奥斯卡小金人，这谁能比得过哈哈哈哈，到时候元宵节带小侄子去看中文配音版，小时候内味儿就有了哈哈哈,喜儿,10,1614231300000
1124636111,全部水军，我觉得一般般。,A蜗牛也是牛,2,1614230040000
1124625381,郑肯不是rap奥尼尔那位吗😂 😂 😂 ,不爱有氧的碳水怪,10,1614227760000
1124603115,看过了 非常好 动画非常精彩 剧情非常流畅 人物演员配色特别棒 ,可樂加冰,10,1614226500000
1124584668,看了预告怎么找不到当年的感觉了😂😂,山东省嘴馋第一名,10,1614224580000
1124619316,我的童年。。,cgV888200586,10,1614223980000
1124619065,汤姆和杰瑞他们不论什么时候都是我们的欢喜冤家，也是彼此最重要的朋友，虽然说这俩人天天打打闹闹，但是在正事上还是挺团结的，这不就要帮忙挽回了一场婚礼了嘛,翙羽–,10,1614223080000
1124596116,过两天元宵节就可以在大银幕上看Tom&Jerry啦！！！希望我们的汤姆老哥可以赢一次啊，虽然就预告来看老汤姆被小杰瑞整蛊得各种变形依旧很经典……咳咳,-,10,1614222540000
1124612890,猫和老鼠的拍摄跟当年的空中大灌篮有点像，但猫和老鼠的动画人物是3D建模出来的，只不过选择了2D呈现，还特地出了中文配音版，也是照顾小朋友的看片感受了,Sylar弈101,0,1614222420000
1124616740,今年就是一个圆梦年，考研顺利，也见到了心仪已久的偶像抢到了签名专辑，居然还让我等到了小时候最爱的杰瑞和汤姆的银幕首秀！太圆满了！,啾啾,10,1614222120000
1116879858,"


猫和老鼠永远也不会过时，小时候是我蹲守在电视机前看，现在呢是我家臭小子拿着ipad看，过两天就带臭小子去看猫鼠大电影，看中文配音版免得我家娃听英文分心，想想还挺好！",池早,10,1614221940000
1124618134,经典永不过时，从小看到大，这次可以在电影院看到俩小只的银幕首秀，真好！估计现在的孩子看也会乐得不行。周五元宵节去和阔别20多年的儿时老朋友们重聚一波,日月星光,10,1614221880000
1124618107,小时候最最最喜欢的就是Tom&Jerry，长大了也会在心情很糟糕的时候打开来看，好像看着一猫一鼠打打闹闹，所有的烦恼就都会消失。打算元宵节首映特地去看中文配音版，重温小时候的快乐,xs0419,10,1614221820000
1124581731,90后童年，必看,My little pet゛,10,1614221280000
1123719277,童年的回忆啊！期待期待,陆陆子,10,1614216840000
1124609853,没有立体感，做成功夫熊猫那样的立体效果就好看了，哪怕熊出没的立体效果,阳仔,0,1614216420000
1124339327,很喜欢这对cp,ybc優秀,10,1614213300000
1124607646,看了预告片没有那么期待了，没动画片好看, king,5,1614210780000
1124590834,虽然没有看过，但是还是要给满分，因为对它充满期待，承载了童年许多的快乐。,人间失格,10,1614181020000
1124478527,猫和老鼠可是我童年最喜欢的动画之一，看到现在要出电影版了，我必须要去支持，童年经典回忆，好怀念小时候守在打屁股电视机前看动画片的时光啊,专注我的品牌,10,1614180720000
1124587021,不是3D的，要是3D的多完美啊,沐天杨,0,1614177180000
1124569096,很感动，很cp 很好看 很优秀,HGi694083220,10,1614172080000
1124565520,猫鼠联手，天下无敌,dac532261972,10,1614170940000
1124542801,就冲我猫和老鼠手游拿坡里鼠市排名第一也得去看，游戏这波联动打得真好。,Prof鸦,10,1614161160000
1124527912,史上最著名的最佳损友！!小时候看过无数遍，以前一放学就蹲守在大屁股彩色电视机前笑得像个傻子，最喜欢四川话方言版的， 啊啊啊啊啊啊我的童年回来啦！,谢谢宁了,10,1614156660000
1124533407,就目前官方发的物料来看，有汤姆、杰瑞、美女猫、斯派克、流浪猫铁三角等等，老朋友们都在，老汤姆一弹钢琴就被搞破坏、汤姆的经典变形、杰瑞拉下窗户夹汤姆的手……经典老梗让人很怀念啊,凝望,10,1614156480000
1124531664,小时候就知道杰瑞一直想去大都市看看，这下好了，这对欢喜冤家的银幕首秀直接到了纽约，也算是帮小杰瑞圆梦了Yeah！,岳绮罗,10,1614156360000
1124530547,预告竟然看得我热血沸腾，多才多艺的汤姆一弹钢琴杰瑞就各种捣乱真真回忆杀！这么多年过去了永远不会被捕鼠夹抓住的小杰瑞还是受不了芝士的味道,淑琼1015,10,1614155940000
1124532453,看预告整体特效流畅度挺好，所有动物都是3D动画建模+真实场景渲染，最终选择了2D画面呈现估计也是考虑观众的观感吧，毕竟现在有的电影院3D眼镜要自带，贼麻烦,相信科学,10,1614155880000
1124533071,看了预告，似乎还有汤姆崛起和杰瑞结盟挽回大局的戏份？也不知道华纳霸霸会不会让老汤姆赢一回小杰瑞，我要去电影院为汤姆打call！,丨鱼子酱,10,1614155820000
1124525138,感觉童年又回来了！期待一下,是杨梅吖,10,1614152700000
1124524205,好看好看，有点怀念童年了,chanlder2,9,1614151980000
