univNameCn,univNameEn,univTags,univCategory,province,score,ranking
清华大学,Tsinghua University,一流大学A类 985 211,理工,北京,96,1
北京大学,Peking University,一流大学A类 985 211,综合,北京,83,2
浙江大学,Zhejiang University,一流大学A类 985 211,综合,浙江,80,3
上海交通大学,Shanghai Jiao Tong University,一流大学A类 985 211,综合,上海,79,4
复旦大学,Fudan University,一流大学A类 985 211,综合,上海,71,5
南京大学,Nanjing University,一流大学A类 985 211,综合,江苏,66,6
中国科学技术大学,University of Science and Technology of China,一流大学A类 985 211,理工,安徽,65,7
哈尔滨工业大学,Harbin Institute of Technology,一流大学A类 985 211,理工,黑龙江,63,8
华中科技大学,Huazhong University of Science and Technology,一流大学A类 985 211,理工,湖北,63,9
中山大学,Sun Yat-Sen University,一流大学A类 985 211,综合,广东,62,10
东南大学,Southeast University,一流大学A类 985 211,综合,江苏,61,11
天津大学,Tianjin University,一流大学A类 985 211,理工,天津,61,12
同济大学,Tongji University,一流大学A类 985 211,理工,上海,60,13
北京航空航天大学,Beihang University,一流大学A类 985 211,理工,北京,60,14
四川大学,Sichuan University,一流大学A类 985 211,综合,四川,59,15
武汉大学,Wuhan University,一流大学A类 985 211,综合,湖北,59,16
西安交通大学,Xi'an Jiaotong University,一流大学A类 985 211,综合,陕西,59,17
南开大学,Nankai University,一流大学A类 985 211,综合,天津,58,18
大连理工大学,Dalian University of Technology,一流大学A类 985 211,理工,辽宁,57,19
山东大学,Shandong University,一流大学A类 985 211,综合,山东,56,20
华南理工大学,South China University of Technology,一流大学A类 985 211,理工,广东,56,21
吉林大学,Jilin University,一流大学A类 985 211,综合,吉林,56,22
厦门大学,Xiamen University,一流大学A类 985 211,综合,福建,55,23
北京师范大学,Beijing Normal University,一流大学A类 985 211,师范,北京,55,24
北京理工大学,Beijing Institute of Technology,一流大学A类 985 211,理工,北京,54,25
苏州大学,Soochow University (China),一流学科 211,综合,江苏,53,26
中南大学,Central South University,一流大学A类 985 211,综合,湖南,52,27
北京科技大学,University of Science and Technology Beijing,一流学科 211,理工,北京,52,28
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,一流学科 211,理工,江苏,52,29
华东理工大学,East China University of Science and Technology,一流学科 211,理工,上海,52,30
湖南大学,Hunan University,一流大学B类 985 211,综合,湖南,51,31
中国人民大学,Renmin University of China,一流大学A类 985 211,综合,北京,51,31
重庆大学,Chongqing University,一流大学A类 985 211,综合,重庆,51,33
华东师范大学,East China Normal University,一流大学A类 985 211,师范,上海,51,34
中国地质大学（武汉）,China University of Geosciences (Wuhan),一流学科 211,理工,湖北,50,35
电子科技大学,University of Electronic Science and Technology of China,一流大学A类 985 211,理工,四川,50,36
西北工业大学,Northwestern Polytechnical University,一流大学A类 985 211,理工,陕西,50,36
中国农业大学,China Agricultural University,一流大学A类 985 211,农业,北京,49,38
中国石油大学（北京）,China University of Petroleum - Beijing,一流学科 211,理工,北京,49,38
北京化工大学,Beijing University of Chemical Technology,一流学科 211,理工,北京,49,40
