user_na,user_c,t
云卷云舒424,经典回顾，依旧是经典,Fri Mar 12 23:01:31 +0800 2021
从天而降的一亿颗星星x,一堆说老套？我寻思着，妇联，不老套？？？？？,Fri Mar 12 23:20:01 +0800 2021
秋风喜欢听歌,当年看阿凡达时候，有人说卡梅隆会在2021年推出阿凡达2，好了，2021年来了，没想到居然是阿凡1达的重映，二在哪里呢？,Fri Mar 12 23:53:12 +0800 2021
姚肴v,了,Sat Mar 13 01:18:07 +0800 2021
我喜欢你一本正经的胡说八道,我打算明天坐高铁去广州看IMAX,Fri Mar 12 23:05:22 +0800 2021
沁美天帝,折合人民币160多亿,Fri Mar 12 23:05:59 +0800 2021
jojo是米米,没能在电影院看过阿凡达的遗憾居然可以弥补？！,Sat Mar 13 00:03:39 +0800 2021
用户雨林vv,重映还有这样的票房，国产电影该醒醒了，别再自娱自乐了。,Fri Mar 12 23:47:45 +0800 2021
咸鸭蛋歪歪,不就是重新捞钱吗！？？？？？还有人去看？？,Sat Mar 13 08:01:23 +0800 2021
清风彡飞扬,。,Fri Mar 12 23:17:09 +0800 2021
長安辰星,炒冷饭还有人看,Fri Mar 12 23:02:25 +0800 2021
崂山,9,Fri Mar 12 23:15:59 +0800 2021
Ryan_國,鬼灭之刃无限列车晚点了还是停运了？,Sat Mar 13 08:43:39 +0800 2021
挥霍小青春Naive,以后估计炒冷饭的越来越多,Sat Mar 13 06:03:20 +0800 2021
看来有点美,票,Fri Mar 12 23:03:15 +0800 2021
PresleyTLBSJ,重映本是去年暑期就上的（当时业内人士透漏8月中旬重映）广电目的是让影院回血！并不是制片方来割韭菜！但为保护8月的国产片广电决定择日再上，现在三月中旬没啥重磅新片，广电才决定这时候上的。本来影院就被广电规定不准在影厅吃喝，失去重要收入，加上市场低迷，不上阿凡达你让部分影院去吃土？,Sat Mar 13 09:02:59 +0800 2021
Victus121,是,Sat Mar 13 08:43:37 +0800 2021
说实话的新时代无产阶级奋斗者,嘛,Fri Mar 12 23:01:54 +0800 2021
-我偏要勉强-,看,Fri Mar 12 23:06:49 +0800 2021
一一吴超一一,人傻钱多,Sat Mar 13 09:10:01 +0800 2021
看到我的请叫我去打工,昨天去看了 才19一张票，可惜本来定了iMax场，临时给换成普通3D了，十年前的特效，现在看着一点也不觉得假，也算是弥补了小遗憾。,Sat Mar 13 08:43:56 +0800 2021
快来一起薅羊毛吧,的,Sat Mar 13 08:42:09 +0800 2021
花菇要冷静,11年的遗憾，终于圆满！效果太好！放在11年前！那是顶级啊！,Sat Mar 13 08:47:05 +0800 2021
RockHee,重影星爷的电影作品，岂不要上天？,Sat Mar 13 00:32:22 +0800 2021
李小柔阿,想看就看，不想看就不看，评论怎么这么多事,Sat Mar 13 09:21:54 +0800 2021
渐入佳境NTJ,能不能团结起来，不让他得逞。你最起码弄个导演版，加长版。,Sat Mar 13 06:27:02 +0800 2021
小暴在路上,我去看了imax，效果太棒了！,Sat Mar 13 02:00:26 +0800 2021
美女看到我后赶紧让我滚去减肥,当年我们还在读书没有机会去电影院看阿凡达，现在重映想补一张电影票去电影院感受一下，昨天看了确实画面太美了，从电影院出来都还在回味，评论说恰烂钱割韭菜又没割你还自以为是在那儿虾条,Sat Mar 13 10:06:17 +0800 2021
蚂蚁狂奔去,看了才会发现国内的3d还是比不上人家的十几年前，真不用一直酸人家,Sat Mar 13 09:48:38 +0800 2021
猫咪的天空呀,也因为最近没有新电影,Fri Mar 12 23:05:27 +0800 2021
岩平平,还不错,Fri Mar 12 23:01:31 +0800 2021
