author,content
Navis Li,年末即将到来市场有不少风云变化在桌面端最大的变化来自于系列显卡而移动端也就是笔记本上最受期待的配置则来自于在月初正式发布的代酷睿处理器随后各家都陆续公布了自己搭载代酷睿新品的产品比如说月日戴尔就在国内正式发布了全新的灵越以及成就系列笔记本而全新的灵越则是从内而外的焕然一新不仅配置升级到了最新而且设计也有大改赶上了年消费者呼声最高的几大元素照惯例我们先过一下重点英寸高素质低蓝光的全面屏立即更新到了代酷睿处理器仅厚度还有最高大电池拥有包括雷电和在内的齐全接口全系人民币起步知乎营销平台让我们来详细看看全新的全面屏设计还记得之前我们评测过的旗舰系列吗无论是它们都有一个统一的特点那就是的四面窄边框屏幕之前就有评论好奇这样的设计会不会下放到价格更亲民的产品里现在灵越很明确的告诉了大家是的灵越也是的全面屏它的优势我们也就不多提了这一块寸的屏幕不仅能让屏幕纵向空间更大一次能看到更多内容也能极大缩小屏幕的边框最终把屏占比提高到了的高水平而且值得一提的是灵越的摄像头依然保留在了机身顶部所以并不需要担心视频通话的时候拍到的都是大下巴除此之外这一块屏幕的素质也很不错每一项都值得单独拿出来说一说色域全覆盖色深物理防蓝光斩蓝屏首先让我们来看色域全覆盖这部分我相信关注过相关内容的人都知道才是目前笔记本上最适合大众的色域标准因为绝大多数的内容创作者都是以为标准来进行的只有你的屏幕也符合标准才能看到准确真实的颜色我也是最早一批揭露并不一定等于的人那么它们到底有什么区别呢我这也有一个很直观的例子上图左标准屏幕显示的标准颜色上图中没有精确覆盖的颜色上图右两者的色差示意图就算不看右边的示意图也能发现没有精确覆盖的屏幕在显示蓝色和黄绿色系的时候颜色都不太准能和左边明显看出区别所以如果你追求精准的颜色就是基础接着是色深这一点我们也提到过很多次色域代表的是能显示颜色的范围而色深则是显示颜色的精确程度让我们来举个例子光有高色域但是色深很低就像一个能打很远但是一点也不精确的导弹它的射程是但是精度只有你想要打一个距离你的目标结果要么打中要么打中这显然是没法用的所以色深高就等于一个精确制导的导弹不仅打的远还打得准就是亿而则是亿一下就差了倍所以色深不足最明显的情况就出现在显示渐变色彩的时候就好比我们给出命令从每隔打一发炮弹那么精度低色深低的炮弹着弹点自然不会是连续的也就导致了色阶看起来并不是连续的俗称断层最后是物理防蓝光斩蓝屏这个概念其实也在系列上提到过了很多次了蓝光刺激其实指的并不是所有蓝色的光而是经过研究之后发现的一段特定的波长范围主流的观点认比如认为应当避免连续暴露于接近蓝光危害曝光极限的光辐射也就是这个区间这时候我们再去看看同为物理防蓝光的系列屏幕你就会发现它在之间的光谱强度很低因为它的峰值其实接近而普通的光谱会在左右形成一个很强的波峰所以这也是灵越斩蓝屏实现低蓝光刺激的原理同时这一块屏幕也使用的是调光不会出现我们常说的频闪状况用手指在屏幕前晃动不会看到重影用相机拍摄屏幕也不会看到黑条这样的屏幕也就能更进一步的保护我们的眼睛减少长时间观看的刺眼感代酷睿处理器加持更高性能更多特性说完了设计再来看配置全新的灵越是首批搭载代酷睿处理器的笔记本之一相比于上一代酷睿它能带来到更强的性能无论是日常的办公软件加载速度还是观看甚至视频或者利用支持功能的全家桶处理素材代酷睿配合高速以及双通道内存都能带来更快速的体验同时灵越也是通过了计划认证的产品也就是说它不仅有更高的性能还实现了快速唤醒更长的续航快充能力和一流的连接性等等高级的认证在这其实也想特别强调一下显卡性能我们都知道代酷睿的升级重点之一就是核心显卡的性能在双通道和高频率的内存加持之下你甚至能用核心显卡来玩一些比较中型的游戏具体的性能和散热表现我们也会尽快找到量产版本的产品进行详细评测在这也就不多赘述了轻薄机身长续航开头我们就有提到灵越系列的屏幕更大了但这并不意味着它的尺寸变大了或者重量变重了第一是因为它的边框很窄属于在机身尺寸不变的前提下扩大屏幕第二则是因为它选择了超轻镁合金作为机身材质所以尽管有着英寸的屏幕但机身重量才厚度也只有这是一个很不错的成绩毕竟一大堆英寸的产品重量也了而且别看它薄但是接口一个不少除了全功能的雷电接口之外它还拥接口接口以及一个读卡器能招架住各种各样的情况和场景同时机身内部最高可以选配到的大电池保守的估计它应该也能达到小时以上的真实续航时间足够带出去一整天不用充电了总结全新的灵越和上一代相比提升巨大因为它身上拥有年爆款笔记本的几个特质英寸高素质低蓝光的全面屏立即更新的代酷睿处理器仅厚度还有最高大电池拥有包括雷电和在内的齐全接口而且灵越还刚好赶上了开学季对于没有中大型游戏游戏需求的学生来说全新灵越的性能满足学习和工作绰绰有余的寸屏幕更大更加护眼而且色彩艳丽轻薄便携的机身方便携带但是接口一个不少还有大电池带来的长续航我相信它会是大学生以及新晋职场人士的最好伙伴之一知乎营销平台而在配置方面我最推荐的会是以下几个版本内存大电池人民币适合不玩游戏只需要普通办公而尽可能长续航而且价格敏感一些的用户内存大电池人民币多加一千块换来了内存以及依然拥有大电池和轻薄的优势还因为大内存能多开更多程序同时尽管代酷睿的显卡性能有提升但在一些游戏和软件上由于自己本身的特性在一些游戏上还是能得到更好体验的适合作为保底的选择
liebao,定制了的屏却只给了在分辨率上没有更进一步不理解在已经发布和代酷睿核显提升较大的情况下仍采用禁用独显以提高性能如果没有核显的这个产品可以直接说凉凉
MBA研一,现在轻薄本的门槛太高了吧灵越这配置加颜值拉高了整体的水平采用代从到都有集显加独显可选英寸机身高素质低蓝光的全面屏雷电和在内的齐全接口还有大电池是不是可以放下了厚度重量虽然产品本身的整体素质提高了但是这价格也是挺高的了提醒大家一下理性佛系购买狗头保命新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
柏波,戴尔之前轻薄本不太出彩这次终于站起来了灵越和之前的命名规则不太一样啊之前是这次反过来代表要翻盘了戴尔灵越这次最大的亮点我觉得就是这块屏幕了吧早已经不满足大众的胃口了屏幕又对续航压力比较大所以开始流行更让人舒适的开始使用的比例而不是传统的比例灵越这个机器采用的屏幕就是非常棒的寸色深模式下可以抖高色域另外全部配置采用代处理器全部架构换新整体提升效率全面支持显卡性能直接对打轻薄本的独显现在的低端独显很尴尬啊新品期免息戴尔灵越英寸代酷睿镁合金轻薄本笔记本电脑防蓝光护眼独显
上官秀儿,这新出的灵越确定不是的小弟么模具感觉和差不多啊不用买了吧的屏幕四边窄边框原生色深亿原色还有调光代全新架构自带核心据说超吊的核显接口雷电卡全都有重量最轻的只有不到价格比便宜一半目前为来说这笔记本完胜代了吧给我一个不买灵越的理由虽说这次代凑核心只有核心现场但是看网上的份数非常鸡血啊坐等性能测试天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
迷苑.Magen,灵越系列一直以来是比较轻巧的这次搭载了酷睿代的灵越的定位依然是学习办公和轻娱乐也就是说在重量上应该还在一个比较容易接受的范围内和厚重游戏本应当还是有些差距的轻薄和性能是熊和鱼掌之间的关系一些现在主流的网游这款灵越还是能够胜任的但是他的优点主要还是在于办公软件的处理速度要比之前的快上非常多所以最适合的人群应当还是上班族和学生用于一些文档的处理或者是图片的渲染会非常的实用并且在携带上面虽然比不上超级本也还算是负重较小的
冷月,灵越这个屏幕是真不错寸色深模式下可以高色域寸的机器使用这块屏幕是取舍非常得当的寸是主流尺寸而戴尔用寸窄边框机身尺寸得到控制的前提之下增大了显示面积比寸小尺寸笔记本寸笔记本看上去舒服多了灵越系列本身也是主打做工品质纯白色的机身有效增强了品质感细节上面看着还不错对于想购买的朋友建议等一等等有集成显版本再买至于那个独显版本是的版本现在的集显已经可以了没必要有这个独显新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
支付宝在逃人民币,之前还没开卖就看不少人吹新的灵越屏幕配置外观没有不能吹的地方全方位无死角吹的起飞今天上架之后一看实机卧槽真香除了价格真的没有不能吹的地方屏幕分辨率物理防蓝光这基本算是目前轻薄本里的优秀屏了吧配置重量代全新架构电池最低内存可选最轻的不到外观接口四边窄边框白内银外配色读卡器全齐英寸屏幕灵越唯一需要吐槽的地方就是戴尔您能不能定价搞便宜点这价格老夫真的闹不住啊买一个笔记本一个月工资没了性能方面还没人测试希望千万别拉跨要不然没性能毁所有天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
万人往,既然是主打超轻便携的产品灵越在自身产品力上的优势已经非常明显了的屏轻薄本去带鱼屏化已经不可阻挡四面窄边框设计采用了戴尔之前的翘臀设计屏占比十分突出再加上这次的代也应该十分给力全新的架构理论处理器性能提升图形性能提升在实际应用的性能上的增长还是挺高的代优秀的性能和功耗控制目前看来在轻薄本上表现应该不错估计戴尔灵越会翻身的但是现阶段不能看价格太贵下手需要等双十一直降的那种优惠才行联想也推出了代轻薄本估计之后不少厂商陆续都会跟进戴尔灵越估计会降低价格来提高性价比天猫链接新品期免息戴尔灵越英寸代酷睿镁合金轻薄本笔记本电脑防蓝光护眼独显
米米卡,听宣传说得最多的就是物理防蓝光去掉了一些有害蓝光而且还对其进行了调光对那些用眼健康眼部保养要求比较多的人来说这款笔记本应该很受亲睐毕竟他们的需求就在这里当然如果价格亲民应该会有更多的人喜欢
Johanna,戴尔的灵越也几乎是戴尔产品线万元当中唯一的能看的轻薄本了的重量高色域屏幕这机器的竞争对手应该是联想刚刚更新的小新但是傻戴这个重量有明显优势而且屏幕终于给了个高分高色域屏这也是年笔记本市场一个好产品应有的基本素质当然性能上来说还不知道结果戴尔的机器在价格上一直没优势依然七千多不过目前看今年下半年的代比较给力根据目前的泄露数据来看智能加速核心提升明显在等软件上有不少的效率提升还支持全新的编解码技术多媒体硬解能直接支持完美支持视频高清图片处理速度一定比之前快不少视频编辑也会更快戴尔的灵越这笔记本的颜值也还不错模具整体和看齐不知道的以为买了个估计不少人会为了外观买单天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
千岛安,刚才看了一下戴尔灵越的配置和价格应为之前挺期待的总体来说产品力不错屏幕屏幕为分辨率色深是屏幕比例比例为尺寸寸支持调光配置上用了代处理器有独显和集成显卡的可选之前也看了不少关于代的参数全新的架构处理器性能标称提升图形性能提升集显版的灵越性能就应该够用了实机图看着不错窄边框重量还轻最轻的不到一公斤现在看就是价格略高了等等天猫的打折或者秒杀应该比较合适天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
阿雪,近期代比较火爆戴尔灵越的也开卖了刚刚去了天猫看了一下整体配置都还不错亮点有几个代这次的应该是让给逼急了直接上全新架构显卡整体性能提升明显给出的数据是处理器性能提升图形性能提升直接支持全新的编解码技术多媒体硬解码不卡顿完美支持视频高清图片处理速度快视频编辑快直接火力全开突如其来的屏幕戴尔灵越的这屏幕还是有点东西的物理防蓝光屏幕黄金比例英寸全面屏屏占比原生色深亿原色调光屏幕无闪烁这可真是屏幕力的战斗机了全新的模具戴尔灵越的怎么看都像的弟弟整体档次高了不少啊窄边框白色加银色组合颜值可以的新品期免息戴尔灵越英寸代酷睿镁合金轻薄本笔记本电脑防蓝光护眼独显
jane,当下的戴尔灵越线急需一款产品来证明自己全新的灵越看来的是做到了款灵越就是戴尔交上来的答卷今年疫情对来说是利好的英特尔推出十一代酷睿之后芯片应该都能卖到短缺目前戴尔应该是第一个能买到的代产品灵越系列也应该是价格段位的出货主力这代灵越产品的屏幕太突出了分辨率相对于普通分辨率的屏幕来说清晰度大大提升了在这个手机平板都要齐刷刷的用上屏幕的时候笔记本这边当然不能落后下去的比例也让屏幕可以实现四边窄边框物理防蓝光和在视频图片编辑领域色彩准确非常重要总体看来灵越是一款很有诚意的笔记本电脑购买建议选择的版本最均衡售价也适中天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
土豆土豆发芽啦,戴尔的灵越应该是目前最快上市的了灵越系列定位一直在系列之下这次的灵越更像了目前的轻薄本几个要点是逃不掉的一是一块上乘的屏幕二是轻薄三是做工和质感四是较长时间的续航五是比较不错的持续性能这五点新的灵越都有了可以看到各家厂商的轻薄本都在发力屏幕戴尔也跟上了这个步伐对于消费者来说是一件好事如果价格能在低一些这款机器还是很值得被推荐的天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
鹿荷拉,这次戴尔打鸡血了灵越这笔记本配置多量又足从集显到独显能想要的都有了尤其是这两个集显的配置简直太实用了老黄的系列不要也罢集显看来可以独步轻薄本了物理防蓝光屏幕黄金比例英寸全面屏屏占比原生色深亿原色调光屏幕无闪烁还有这屏幕素质要干啥从原来色域直接起飞跨度也太大了吧单车变火箭了啊天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
郑缓缓,这次全新的灵越内而外的焕然一新了磨具完全更新了配置也级到了最新呼声最高的几大元素也都有了比如英寸高素质低蓝光的全面屏代酷睿处理器重量为厚度还有最高大电池拥有包括雷电和在内的齐全接口就是价格有点高元到一万多配置上有和可选目前这价格段位我估计都会买低配的吧天猫链接
十八,这代灵越在颜值上挺像的的屏幕正面颜值和屏占比很高而且在如此窄的额头上还放下了一颗摄像头并没有放在奇怪的位置后边翘起的设计能让散热好一些灵越在屏幕上应该下了不少的功夫物理防蓝光屏幕黄金比例英寸全面屏屏占比原生色深亿原色调光屏幕无闪烁考虑到用眼健康问题这块屏针对蓝光做了一定的优化筛除了部分的有害蓝光居然同时加入了全程的调光下了不少功夫啊就是这配置少了点只有三个天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
链素谈车,去看了一下笔记本到挺好看的配置也还行的还有的独显平时办办公肯定没问题有独显打打游戏也行不知道带不带的动这分辨率看下面说有护眼功能长时间看眼睛应该能舒服点忍不住吐槽一下产品不错但是这广告图里的个人可和这笔记本也太不搭了天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
日落将时,代的产品这么快的上市我是万万没想到的戴尔的灵越今天就能买了更是我没想到的的顶配看着是真心好啊能完美满足我的轻薄本的需求就是这个小有遗憾啥时候能有集显版啊我觉得大部分人都和我一样对老黄有意见吧老黄你这刀法越来越坏了轻薄本的独显都砍掉了我加速个毛线啊这代产品只能靠的集显加速了还有这难道只有我一个人觉得这灵越像么天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
春春说心理学,戴尔这款笔记本应该是便携产品里比较上乘的了看了下基本有几点屏幕方面高色域的屏幕还有物理级的防蓝光一方面是屏幕带来的生产力加持另一方面是物理级防蓝光对于色准的保障性能方面的代出来了从目前来看核显性能和能够打的有来有回方面最高的工艺对于轻薄本来说足够用了感觉像优化工艺加持的高能耗比重制版要好不少期待这次的性能释放的更好接口方面改进的数据传输带宽能够让外接的设备速度更快外观方面没了下的宽边保留了摄像头镁合金的运用带来了较轻的机身总的来说我觉得这应该是一款还不错的产品就是价格高了一点新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
买个冰激凌,没人邀不谢刚刚看完灵越斩蓝屏这屏幕确实能吹一波物理防蓝光屏幕黄金比例英寸全面屏屏占比原生色深亿原色调光屏幕无闪烁你就说香不香太精髓了轻薄本早该换成的屏幕把边框变成四变窄现在手机都全面屏了好不好再说分辨率直接上了苹果视网膜屏多少年了的马赛克屏都看瞎了大人时代变了好吧另外的十一代集显性能爆炸全新架构处理器性能提升图形性能提升带屏轻轻松松该整的也整上了嗯今年是轻薄本最有希望的一年天猫链接发布说明知乎用这个链接申请卡片用这个链接替换已经生成的卡片链接发布后的实际效果为带产品图片的卡片形式
黛西,灵越全新的终于上市了之前一直关注知乎也有不少信息一直认为上市后配置会拉跨目前看来配置从集显到独显都有但是集显的目前没看到的配置老黄在轻薄本上做的独显的我是服了也就持平代的集显灵越估计都看好集显的全新的代支持全编解码多媒体硬解码直接就能支持我要干啥牛批就完事了这次的灵越屏幕终于用上了高端玩意直接都年了也该上点好屏幕了全窄边框防蓝光高分辨率我的眼睛终于不瞎了等一手小白鼠的测试散热要是给力目前应该算是个不错的轻薄本天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
假如我是真的,戴尔在低价位价位段的轻薄笔记本都不行唯独灵越系列还不错这代灵越采用了镁合金机身小于的重量厚度高色域四边窄机边框性能切换全系标配以上的固态雷电接口全新的模具全新的机身尺寸边框都变了内部也得重新设计了全线采用代从之前戴尔的产品看来依然会主打轻薄超长续航优点说完了聊聊缺点吧性能目前未知烤鸡成绩还得看后续测试另外就是价格这价格真的贵啊哦对了贵的问题在自己行那没事了天猫链接新品首发期免息戴尔灵越英寸代酷睿轻薄本笔记本电脑防蓝光护眼独显
Starve Jokes,键盘能整点阳间的键盘吗别学那个被上帝咬到阴间的水果一样把最右边一列砍掉
