author,content
Xiuquan Yu,三体一一个科学家被组织上叫去开会首长跟他说打仗了他蒙了因为不知道敌人是谁就和一个警察去调查然后摸到了一小撮反革命最后发现敌人是特么外星人外星人叫三体人而这帮人则是投降了外星人的二鬼子伪军结局是把该反革命团伙一锅端了三体二一个水货大学教授差点被二鬼子刺杀然后被带到联合国大会联合国让他当面壁者任务是忽悠外星鬼子忽悠瘸喽他拿到了权力不干事就光吃喝嫖嫖还让组织上给他找老婆最后外星人把地球舰队全灭了教授琢磨出来了一个理论理论叫黑暗森林用这个理论一席话语喝退外星鬼子兵不敢兴无名之师犯我疆界三体三第三部内容跨度很大说一个屌丝被拆的就剩下大脑放了个大窜天猴送给敌人这人后来成功打入敌人内部最后发回来三个童话隐藏了外星科技的信息给地球人破译另一头上部的那个教授老了未来地球人都是娘炮镇不住外星鬼子鬼子又打进来了要把地球搞成三光无人区折腾够呛上部舰队团灭逃出去一飞船回头又用了黑暗森林把鬼子又喝退了但地球太阳系也吃枣药丸人类建了空间站也搞了大飞船但最后没有卵用还是整个星系团灭了完事就跑出去俩女的去找那个在敌人后方的最后写到了宇宙末日大致内容给你介绍完了你还看的下去不
杨建东,一个池塘里有两条鱼一条大鱼一条小鱼大鱼想吃了小鱼小鱼不肯等死于是拼命想方设法制造高科技武器想反抗大鱼但依然不是对手这时小鱼想了个办法小鱼警告大鱼说捕鱼人就在附近要是你非要吃我我就把捕鱼人喊过来让他们把我们都给抓了同归于尽这招果然有效大鱼顿时乖了还说我们都是鱼还是做朋友吧天真的小鱼相信了大鱼的话两个人当了一段时间的朋友然后有一天大鱼趁着小鱼没准备突然对着它的脑袋就咬了一口小鱼头破血流吓哭了说不是说好了做朋友的吗大鱼坏笑着说兵不厌诈小鱼很生气一路逃跑大鱼一路追眼看大鱼就要吃掉小鱼小鱼拼尽了最后一口气终于向着捕鱼人喊了话于是捕鱼人顺手把两条鱼都给抓了做成了美味的鱼汤不过好在两条鱼在被抓之前都产了几颗卵还是有后代存活下来的两条鱼的后代经过漫长的岁月演化也进化成了人类变成了捕鱼人最后的最后过了很多年池塘干了池塘里的所有鱼都死光了捕鱼人也饿死了啥都没了至于以后会不会下一场大雨让池塘重新诞生出鱼儿和捕鱼人那就谁都不知道了小鱼人类文明大鱼三体人捕鱼人文明程度更高的外星人池塘宇宙
扶苏,三体文革时期保密级别极高的红岸工程基地普通职员叶文洁主要工作是将编辑好的信息一遍遍在太空广播一次意外操作叶文洁收到一个外星文明回复解析后这个被称为三体世界的外星文明发来了那句著名的话不要回答不要回答不要回答生存是文明的第一需要文明不断增长和扩张而宇宙中的物质总量不变叶文洁回复了三体世界暴露了地球在宇宙中的坐标就像一个小孩在黑暗的森林里燃起了篝火而周围隐藏的都是带枪的猎人三体世界派出舰队将于年后到达地球消灭人类暴政世界属于三体这是人类的末日面壁计划启动地球文明在灭绝危机的前提下发生了技术大爆炸人类倾尽资源打造了庞大的太空舰队却在三体舰队探测器水滴的攻击下被瞬间击溃弱小和无知不是生存的障碍傲慢才是傻孩子们快跑啊恒星级战舰自然选择号代理舰长章北海的行为挽救了少数飞船逃离了太阳系建立了星舰地球自然选择号前进四水滴即将攻入地球第四位面壁者罗辑参悟了黑暗森林法则只要公布地球或者三体的空间坐标那么就会有带枪的猎人过来消灭这个文明罗辑带着一把手枪挖好了一个坟墓举枪对准自己的太阳穴我对三体世界说话罗辑在自己的身上装了遥控引爆器引爆开关是他的生命引爆物是面壁计划里所有的氢弹被按照固定的坐标安置在水星一旦引爆整个宇宙都会闪耀出三体世界和地球的坐标在广阔的宇宙上来看地球和三体是离得很近的文明暴露其中任何一个等于另一个也暴露了只是时间问题以共同毁灭为要挟地球与三体达成和平面壁者罗辑拯救了地球当选为第一任执剑人这把剑是引力开关只要打开就会向宇宙广播三体世界坐标第二任执剑人程心到达地底堡垒岁的罗辑今天卸任十分钟后颗水滴冲向地球摧毁引力发射器锁死太阳系执剑人程心没有按下引力开关她无法下达这个决定毁灭两个世界人类的末日来临所有人三天内无条件迁徙澳大利亚腾出地方给三体人逃亡的星舰地球为挽救母星向宇宙广播了三体世界坐标三体世界的三颗星球被大神级文明歌者文明清理坍缩了三体世界灭亡三体舰队逃离地球这里和三体世界一样将成为被清理的死地使用一个苍蝇拍将一只苍蝇拍死在玻璃上就可以看到一个扁平的二维化的苍蝇歌者文明清理者发现了与三体世界有联系的地球文明长老给我一块二向箔清理用地球没有像三体世界一样坍缩二向箔降维打击武器整个太阳系像一副巨大的被拍扁的画梵高的星空程心与助手艾乘坐唯一的小型光速飞船逃离太阳系其余的人和地球月球水星木星天王星成为了画的一部分地球文明灭亡清理三体和地球这样的蝼蚁在神级文明面前只是顺手而为真正的宇宙战争神级文明的对决早已使得这个宇宙千疮百孔宇宙像一个不断膨胀的尸体大神级文明归零者在宇宙广播呼吁停止战争归还宇宙物质重启宇宙再次宇宙大爆炸最终时刻来临宇宙重启万物归零只有死神永生冰山一角罢了建议看原著全文
芒果不够酸,有个科学家文革的时候遭了很多罪觉得人类文明太罪恶了如果要是有外星文明的话他们一定更发达更道德才能拯救我们所以就拿大喇叭喊了一嗓子我们这儿有人外星人虽然科技发达但是住的地儿资源匮乏水深火热听到这一嗓子外星人就赶紧往地球跑来了打算发展大东亚共荣圈呸说错了打算占领地球外星人来了但是另一个科学家发现了一个秘密就是外星人怕大喇叭喊他们家地址这个科学家就拿了个大喇叭说你别过来了你再过来我就拿大喇叭喊你们家地址了外星人一听说你别喊别人来了咱们都得死只要你别喊你想要什么我给你什么然后外星人就给了好多好东西给地球地球人日子越过越好就觉得哎呀那个大喇叭一喊咱们都得死这个大喇叭有点危险啊就把喇叭给了一个喊不出啥声儿的人拿着保险外星人一看这感情好啊就赶紧过来把地球占领了但是之前之前有些坐着飞船离开地球的人身上也有喇叭就拿出来喊了外星人家里门牌号于是外星人就跑了然后一个以前被人类送给了外星人的地球人在外星那边混的挺好就偷偷告诉地球人说别人一会儿就来杀人了还有一个方法可以不被杀这个方法我不能说你猜一猜地球人没猜对就被毁灭了只有两个女的跑了出来加了一段感情戏感情戏演完之后宇宙也毁灭了
谢庆强,红卫兵你爹被打死了你也要去劳改叶文洁呼叫三体人呼叫三体人打死地球人这帮愤青三体人我们来了智子先行锁死科技大部队随后跟上地球人丫们真来了好可怕找几个人背锅吧就叫面壁人吧三体人小弟我破我破我破破破咦最后一个破不了三体人虫虫们感受我的愤怒吧水滴上地球人丫们真能打这下完蛋了罗辑还没呢老子找到一把能杀三体人的刀给它起名黑暗森林威慑吧地球人滚一边去不信你再嚷嚷关精神病院罗辑擦不信我老子炸给你看三体人你瞅啥再不过来我真炸了三体人大爷别有事好商量地球人给我技术不然炸了你三体人罗大爷您看给还是不给罗辑给一点吧三体人好来罗大爷地球人擦当我摆设啊换掉换掉程心你上三体人真好上来一给我炸地球人啊啊啊我们要去澳大利亚了万有引力没事还有我呢也给我炸三体人完了家被炸没了不理地球人了我闪地球人听说一会地球也要炸要死一起死谁也不许造船跑我把墙弄厚点不怕炸歌者咦会躲啊不好炸把丫们都摁成纸片吧地球人啊啊啊我要死了不对程心这王八蛋咋鼓捣出船来的程心哈哈哈我跑不仅跑我还要去抢个帅哥嗖嗖嗖时间过去了智子宇宙催账了再不还就快死了咋办程心先还一部分留块钱以后再说吧宇宙吐血我死了就差块钱买不起馒头饿死了程心魔镜魔镜我是不是最善良最伟大的人魔镜死神大人您是的一切结束
忘了吧,更高科技的外星人因本来居住的星球非常不宜居发现地球这块宝地决定入侵地球人类如临大敌三体人的科技远高于人类但因为宇宙太大距离太远以三体人的科技要全体移民到地球也是需要几百年的三体人害怕这几百年内人类的科技爆发反超三体将智子送到地球锁死了人类的科技发展人类感到非常绝望这里的核心是科技水平高就一定道德水准高吗第一部人类绝望之际到处找人想办法希望以举球之力想出办法来反击三体人他们选出了几位堪称优秀人类典范的人杰不管这些人的想法有多疯狂都不问原因地支持但最终被三体人在人类的代理组织一一破解只有一位看似普通但得到过叶文洁指点的罗辑博士悟出了克制法用极端的威慑法强逼三体人的舰队退回去另外也有人默默行动跨越几百年的努力就为了带一部分人类逃进茫茫宇宙深处这里的核心是罗辑的威慑起了作用三体人不敢入侵章北海也成功带领一部分人逃出去了人类的火种将洒遍宇宙光明的未来就在不远处的将来第二部三体人和地球人不过是菜鸡互啄真正的宇宙黑暗远超人的想象死神才是永生的第三部精髓呵呵
薛定谔的哈士奇,文曰小强你值得拥有文曰小强分钟速读三体大合集哔哩哔哩干杯
baizhichao,有部同人小说叫会穿越的流浪星球里面对三体的大背景进行了更深的解析以下为小说内容转载在最初宇宙所处的叫田园时代那时宇宙是十维的光速是无限的田园时代终结于星际战争的降维打击事实上在宇宙田园时代的星际战争中大部分的文明都不敢首先动用宇宙规律武器因为他们知道这是同归于尽对于宇宙中所有文明来说都不会有好结果然而在这些文明之中却有一个例外那就是掌握了宇宙重启技术的归零者他们知道宇宙最终可以重启所有的一切都可以在宇宙降至突破零维时回归原状所以归零者从来不忌惮使用宇宙规律武器并且在无数次轮回当中总是第一个使用宇宙规律武器最终把其他所有的文明都拖入无下限的宇宙规律战争当中这就是归零者的所作所为同时也是他们总是能成为最后赢家的原因万物寂灭死神永生归零者正是把自己当成了主宰苍生的死神所以他们得以在无数次轮回中获得永生不知真相的其他文明总是会率先遭到宇宙规律武器打击仓促使用宇宙规律武器反击时早就已经全面落于下风一个有底线的文明面对一个无下限的文明在实力没有绝对差距的情况下结局早已注定了更何况归零者还有无数次宇宙轮回中积累下来的技术新生的宇宙文明根本不可能是他们的对手这就是归零者操控下的宇宙轮回一切都将逝去唯有死神永生每当归零者重启宇宙之后他们都会先享受一段宇宙田园时代的美好时光直到某一个新生的文明逐渐开始成长到足以威胁他们归零者就会动用宇宙规律武器把整个宇宙变成一片战争的废墟当宇宙从十维的田园时代逐渐向低维跌落后逐渐变成一片残酷的黑暗森林归零者就会躲进他们创造的小宇宙当中对于自己造成的这一切冷眼旁观静静地等待着宇宙末日的到来最后当归零者在恰当的时候现身告诉在黑暗森林中诞生的这些痛苦的生灵这个宇宙曾经有多么的美好并且有能力进行宇宙重启的时候还会得到他们的感激讽刺吗造成这一切的死神被当成了最后的救世主藏起五公斤物质让宇宙重启失败但事实上想这么做也是不可能的宇宙回归运动声明只是先礼后兵归零者当然不会寄希望于所有的文明都能主动归还夺走的质量最后他们还是会动用武力把拒绝归还质量的文明逐一清理别说是五公斤的质量哪怕是只有五克归零者也不会放过这也是每一次宇宙重启都能成功的保障归零者会直接清理掉其他所有文明只有自己可以到达重启后的新宇宙那个宇宙回归运动声明就是一个彻头彻尾的谎言仅仅是为了稍微省点事罢了归零者会承诺归还质量的文明可以把记忆体送往新宇宙甚至可以留下一个漂流瓶保存着文明几乎所有的信息以至于新宇宙中的文明可以根据这些信息复原那个文明然而事实是这些记忆和漂流瓶都会被归零者全部销毁他们不会允许除自己以外的文明到达新宇宙其他文明可能把归零者当成了救世主但他们实际上是毁灭苍生的死神
李怡楚,一三体星球距离地球四光年的地儿住着一群外星人他们的星球有三个太阳这伙外星人叫作三体人三体人非常悲催母星的三个太阳特别的不稳定要么三个太阳一起出来把三体世界烤成火海文明毁灭要么三个太阳都不出来三体变成极寒之地文明再次灭绝偶尔三个太阳乖一点有规律地升起降落三体人才能乘机发展但毫无征兆的三个太阳可能随时又出来把三体人灭掉如此折腾了快个轮回三体人扛不住了他们准备跑路在宇宙中另找个地方生存可是茫茫宇宙那么大那么黑到底该去哪里看看呢于是三体人搞了几千个监听站专门收集太空的各种信号看能不能搜到点啥三体问题是天体力学中的基本模型该问题无解当三个球体质量相似时他们之间的运动轨迹无法预测二红岸计划年岁的叶文洁亲眼目睹了父亲在文革中惨死随后被发配到东北深山密林没过多久她被一渣男陷害要坐十几年的牢深山中神秘的红岸基地解救了她基地领导看中了她扎实的物理知识叶文洁进了红岸基地后努力工作不闻窗外事慢慢地了解到红岸基地的真相原来这个基地是专门找外星人的无意之中叶文洁发现可以用太阳作为功放信号强度逆天无比她怀着复杂的心情向宇宙发了一个信号四年后有回复了外星人回复说不要回答不要回答不要回答我们只知道信号方向不能对你的世界定位如果回答了你们就大难临头天蝎座的叶文洁如何能忍偏要回复来吧亲地球欢迎你们整个三体世界沸腾了大赶紧开会讨论决定立马进军地球先锋是一颗被二维展开后蚀刻上电路图然后恢复成十一维可以量子纠缠实时通讯的质子名字叫做智子三体人的监听员是一个爱好和平者他宁愿自己的母星失去移民的机会也要保护素不相识的地球这是何等高尚的品质啊三组织三体舰队四百年后将到达地球地球三体组织三体带路党目标是借助三体力量来改造和拯救腐朽的人类社会该组织的精神领袖正是叶文洁叶文洁推崇三体人的原因一是自身的悲惨经历导致对地球现状极度不满甚至绝望二是科学家的身份对三体文明科技的渴望渐渐变成一个庞大的组织分作两大派降临派期望三体能改变地球肃清地球拯救派对三体有宗教般的热爱越来越招摇渐渐地引起了政府的注意在卧底中年物理学家汪淼的帮助下在一次有预谋的警方行动中被一网打尽叶文洁也被抓捕了从收缴的资料中地球人知道了三体人一个致命的弱点三体人从不欺骗也不知道忽悠是啥东西地球人发现了三体人的弱点同样三体人也从处知道地球人的善于忽悠对此三体人感觉到深深的恐惧于是刻意拉开了与的距离四智子智子就是质子智子非常之牛我们知道原子是由质子中子和电子组成的三体科学家把十一维的质子展开成二维结构包裹在三体星球表面上然后在二维平面上蚀刻出电路图再还原成十一维智子可以做量子纠缠完成跨距离无延迟通讯智子可以光速移动监听监视人类的每一个动作最重要的目的智子要干扰人类的粒子加速器锁死人类的科技等到四百年后三体舰队到来时地球科技不至于跃升而被反杀智子还给下达了任务要杀死一个人籍籍无名的大学老师热爱夜生活的风流学者罗辑智子可以幻化成人形不知道为什么智子经常化成日本人的样子身着和服的温润女子或者身背武士刀的忍者造型五面壁者人类不会坐以待毙在发现三体人不擅长忽悠的弱点后人体提出了面壁计划选了四个人给予无条件的信任无限的资源任务就是憋出一个大招到时候打三体人一个措手不及面壁人的想法不能讲出来不用跟任何人解释想干啥就干啥罗辑被选中时一脸懵逼我本是卧龙岗上一闲人突然就接到了拯救地球的重任没道理啊罗辑索性不管那么多开始过着醉生梦死的奢侈生活偏偏锲而不舍地追杀他一次又一次逼得罗辑开始认真地思考这个问题我到底和别人哪里不一样呢终于他想起了和叶文洁的最后一次会面叶文洁给他传授了宇宙大法文明的第一需求是生存文明不断扩张但是宇宙的物质总量不变以及猜疑链和技术爆炸罗辑终于悟出了宇宙的终究秘密宇宙的资源是有限的随着各种文明不断发展有的人要的多了必然要抢其他人的弱肉强食牛者生存牛叉的文明以外还有更牛叉的文明为了自保所有的文明都应该保持沉默不能暴露自己的存在以及位置科技的发展不是线性的而是爆炸式的现在看起来弱的文明说不定转眼就强到暴最直接的办法是趁你弱的时候干掉你先发制人所以整个宇宙都静静地隐藏起来谁敢出来装瞬间就被人秒掉宇宙就像一片黑暗森林看似平静其实布满了持枪的猎人大家都屏住呼吸谁都不敢稍微发出一点声息六执剑人罗辑为了检测自己的理论找了十几光年外的一个恒星做实验通过太阳向宇宙标记出它的位置然后静静地等着它被灭掉这一等估计要几十年罗辑于是决定冬眠说有消息了叫醒我罗辑睡了一百多年醒了后发现人类已经无比牛叉了几千艘恒星级的战舰在太空里耀武扬威一艘战舰就能灭掉一颗行星大家都盼着三体舰队赶紧过来给这些外星人点颜色看看探子回报三体人的探测器来了一颗貌似水滴的强互作用力探测器它来了在地球人的惊叹声中水滴横冲直闯度无死角迅雷不及掩耳秒掉了人类几乎所有的战队人类终于知道自己和三体星球科技水平差了不知多少个光年当然还是有几艘舰队逃了出去分别是青铜时代号和蓝色空间号人类顿时陷于懵逼中这时传来消息罗辑选中的恒星被灭了人类把所有的希望寄托给罗辑盼着这个能够毁灭恒星的男人拯救他们人类和三体互撩过所以人类就有了三体的坐标罗辑威胁三体说你们不撤老子就把你们的坐标发到宇宙大家一拍两散同归于尽当然如果三体被发现被毁灭地球也迟早被发现和毁灭三体人认怂了讲和了横的怕不要命的罗辑手上拿着牛叉无比的发射按钮罗辑被称为执剑人但人类不感谢逻辑罗辑就像古龙笔下的浪子风流不羁潇洒随意但神经粗大性情如火关键时候豁得出去七圣母程心那么地球人和三体人是不是从此过上了幸福的生活不是圣母出现了地球人在开展面壁行动时还在想一些其他的办法比如卧底计划向三体舰队送一个人过去看能不能从内部瓦解敌人速度得是光速不然人还没有送出去三体舰队就到了太阳系人类的技术支撑不了整个人体的重量于是领导韦德说改成送大脑谁愿意把自己的大脑挖出来送出去呢有一个得了绝症的屌丝云天明是程心的大学同学一直视她为女神女神于是来看他布置了这个任务云天明说云天明在出发前将自己得到的一笔横财买了一个恒星送给程心送女神一个恒星比钻石要高大上很多咯云天明的大脑以光速驶入太空然后失去消息了霸道的罗辑让三体人不敢动弹但擅长斗争的人类在过着安稳日子的同时开始各种看不顺眼罗辑过了五十年人类闹着要换执剑人他们选中了甜美小白兔程心做下一任执剑人程心刚刚接过罗辑手中的按钮三体人全力进攻地球上的引力波发射塔一秒钟也不耽误生死攸关的时候程心脑海里划过了地球上所有生命的眼睛从三叶虫到恐龙到人类密密麻麻的眼睛程心放弃挣扎了三体人成功了他们摧毁了地球上的所有发射装置圣母指那些无原则底线的包容原谅他人对任何人事物都抱有博爱之心不讲求客观事实一切行动准则都只围绕爱善两字为中心的人八卧底云天明地球被占领了智子逼迫所有的人类转移到澳大利亚四十二亿人挤在万平方公里的空间人类之间不得不进行资源的残酷争夺最终将只剩下三千万人能存活在这片土地上地球和三体和平相处的时间里曾有过一个小插曲地球开始召唤流浪在外面的两座战舰青铜时代号和蓝色空间号青铜时代号上当回来了被地球人灭了蓝色空间见状逃走地球派了万有引力号去追击万有引力号变成了唯一有发射三体坐标能力的发射器得知地球被占领了万有引力号立马发射了引力波向宇宙广播了三体的位置三体从地球撤了没过多久三体星球被人灭了那么很快地球也将被毁灭三体人彻底放弃了地球开始毫无目标的星际流浪还好我们有卧底云天明真的被三体人找到了克隆出身体云天明在三体过得不错靠给三体的小朋友讲童话混成了网红三体离开太阳系前破例让云天明和程心见了一面在这次会面中云天明给女神讲了三个童话故事云天明在三体世界里进行了大量的童话创作他的几百个童话受到了三体小朋友的一致好评所以云天明给女神讲童话三体人并不介意云天明通过这三个童话给人类透露了好几个关键信息曲率驱动可以产生光速降维打击以及光速下的黑域我愿变成童话里你爱的那个天使张开双手变成翅膀守护你九二向箔人类只听懂了第一个信息人类开始研制光速飞船计划逃离太阳系还记得云天明送给程心的那个恒星么人类在上面发现了无数的矿产圣母发财了韦德用圣母的钱开发光速飞船但因为飞船光速飞行时会留下明显的痕迹人类担心因此加速受到打击政府开始制止研究光速飞船韦德准备武装造反千钧一发之际圣母赶到说然后人类最后一丝希望破灭了神级文明终于发现了地球扔了一张纸片二向箔太阳系将变成一张画片像梵高的星空除非有光速飞船才能逃离不然太阳系里哪怕一只细菌也将变成二维的图片而且光速飞船形成的航迹将降低光速一直降到第一宇宙速度外部文明看过来一眼就知道这个文明没有攻击的能力是绝对安全的就可以避免黑暗森林打击可惜因为圣母的仁爱太阳系地球以及所有的行星都将毁灭二向箔又不是什么了不起的东西来给你一张十宇宙重启圣母的运气很好韦德团队偷偷地留下了唯一的光速飞船程心和她的闺蜜一起逃向了太空其实宇宙之间的文明一直在互相折腾他们战争的方式是宇宙规律降维攻击还有光速打击宇宙被大家一起生生地从十一维降到三维马上要降到二维以后会一维最后会回到奇点宇宙中的神级文明研发出小宇宙云天明也送给了女神一个小宇宙小宇宙是违章建筑大家都在建造便导致了宇宙质量的流失神级文明开始号召大家归还小宇宙说都还回来我们来重启一起回到十一维的田园时代大家纷纷响应开始向宇宙交还小宇宙毕竟谁不想过田园牧歌的快乐生活呢程心看着空荡荡的小宇宙这是崇拜者送给自己的礼物啊她寻思着一定要留个纪念她喃喃自语道谢谢你一直爱着我于是她留了一个小鱼缸我去又是你你这样搞我还能不能重启还能不能重启我特么要毁灭了你知不知道完
朵朵他爸,大致总结一下三体高密度文明背景的宇宙环境中常规手段无法突破光速情况下人类未来发展史诗其中的关键词包括高密度文明宇宙既宇宙中同时存在复数的文明阻挡这些文明互相探测到对方的仅仅是他们不想让其他文明知晓自己的存在在探测到对方后他们是有能力对对方施加影响的常规手段无法突破光速既非常规手段可以达成突破但有代价代价为可能使加速区域的宇宙时空变成黑域此区域光速变低甚至低于所在恒星系脱离恒星引力所需要的速度譬如说太阳系脱离太阳引力的速度叫第三宇宙速度千米秒如果太阳系范围内出现光速低于千米秒的黑域则此黑域中的任何东西包括光都无法离开太阳系黑域范围等于是和宇宙其他区域再也没有任何关系了而且因为光速降低的过程是不可逆的任何一块黑域的产生都意味着宇宙区域的减少同样包括以光传播的信息可以是光也可以是引力波由于依然无法超越光速而宇宙区域又过大动辄就是几千上万光年使文明之间的交流变成不可能从而导出所谓黑暗森林理论既既然交流不可能就无法确定其他文明是否对本文明有威胁所以大家都要隐藏好一旦发现有其他文明存在为了己方安全最好的办法就是毁灭对方背景基本上就是这么个背景然后故事是以人类被距离最近的文明发现作为开始的而对方因为距离很近比邻星光年而对方生存环境恶劣三体星系三个恒星导致星系内引力系统混乱动了歪脑筋想侵略殖民引力行星系统稳定的地球如果真的环境好按黑暗森林理论一家伙毁灭地球还有个小说能写然后人类在觉察并反抗过程中发生的一系列可歌可泣的故事其实也就是那么回事毕竟是科幻相信没人会为假设情况下发生的事去感动落泪然后请注意大刘的写法他基本上是愿意从各个方面来描写整个社会的发展的所以不仅仅是大层面上的还会有许多小人物的兴衰故事从而从侧面让故事看起来更加有血有肉所以看书需要耐心一点去品味大刘为读者建造的未来世界另外需要提醒的是这本书的结局并不是光明的虽然大刘在最后狗尾续貂上了一大碗女主角的成功鸡汤但不可否认的是三体中的地球文明总体是被全灭了不喜欢这种地球文明被全灭的结局的话不看就不看吧也不会少掉块肉的
