author,content
潘先森,有一次主持人对吴京说你拍电影好像很喜欢和老戏骨合作像倪大红吴刚老师他们吴京废话不多主持人继续问是不是和他们合作那种状态才是你最舒服的状态吴京承认和他们合作他们什么都想到前面去了你还没说他们都给你做到了比如拍之前他们会说我是不是得去训练啊吴京当然特别乐意练呗他们又问说真正的训练是什么样的吴京告诉他们一般都是挂着砖头或水壶听到这个老师们的反应特别可爱京儿兄弟哥哥老了你看就挂个水壶行吗后来我们在电影中看到了倪大红吴刚他们的表演一点都不像是没拍过动作片的人尤其是吴刚在战狼中单手换匣非常熟练流畅特别有说服力老一辈的演员他们对表演这件事特别有敬畏感
雨云,卢惠光在年至年之间曾连续七届称霸香港泰拳邀请赛的总决赛在其中一次比赛更是一拳将对手打昏迷十几个小时一身真功夫受到成龙赏识将其长期带在身边做保镖醉拳卢惠光卢惠光和知名的功夫明星基本上都有合作以下是卢惠光对吴京实战能力的评价吴京在与吴京合作之前卢惠光就多次表达过对吴京的喜爱在合作之后更是赞不绝口他说我以前就觉得吴京的动作很漂亮打起拳来很有气势应该很不错的但是接触之后发现他真的好强他不光练过武术他还有学过那种军用的搏击术那些东西是很强的都是要人命的在有规则限制的情况下吴京未必多厉害还如果真打我都不一定能打过他的左边为卢惠光以上卢惠光的评价也大致符合大家的印象也就是说擂台战的话吴京未必有多强但是生死搏斗的话经历过一年半特种部队训练的吴京他也未必能打得过从吴京的经历来看吴京出身武术世家满族正白旗据他自己说祖上曾经在清代拿过武状元是五届全国武术冠军众所周知其实就是武术套路但是十二岁就开始拿武术冠军的吴京毫无疑问身体素质是极好的但是这时候的吴京应该没有太多实战能力主要还是停留在套路阶段后来吴京进入电影界开始接触散打比如在拍摄黑拳之前吴京进行了长达数个月的散打训练当时陪练的对手就有全国散打冠军职业搏击运动员白近斌有练武术的底子吴京这方面应该成长很快吴京和白近斌散打训练吴京散打训练这时候的吴京应该有普通散打运动员水平我个人认为以吴京的武术冠军底子和顶尖高手的陪练是要比业余散打要强的当然我指的是同量级之后吴京进入特种部队训练了长达一年半应该有学不少军队的格斗技巧以及近战匕首刺刀的运用这时候的吴京应该能达到卢惠光所说的水平了也就是擂台战或许一般但是无限制格斗会比较厉害特别是在手里有武器的时候以上是指的平地对战同时吴京还擅长潜水徒步越野野外生存伪装潜伏赛车爬过雪山跳过伞会开坦克和直升机赛马也是一绝所以如果扔到野外环境特别是丛林中哪怕是赤手空拳扔进去吴京应该也能利用环境轻松解决掉大多数擂台赛上比自己强的人但是啊时代变了军队里格斗和匕首训练应该只占一部分大部分应该还是枪械训练吴京在军队表现优异参加过信任射击狙击步枪米开外能够打到硬币空手不好说但如果手里有枪吴京你们一起上吧我赶时间有视频为证吴京解释实弹报靶实际是信任射击还谈了部队训练和生活的趣事哔哩哔哩干杯军队高度认可吴京附上卢惠光采访时评价其他功夫明星成龙成龙他练过很多功夫练过咏春也练过北派而且他打棍也好耍刀也漂亮他的师父很厉害他还自己练过西洋拳算是比较全能的了他年轻的时候力量很足肌肉很发达爆发力也好在擂台上也应该很厉害的平时我们拿个机器他一下子就拿起来当然还有很多记者追问过他有没有和成龙对打过这样类似的问题他的回答是我和他没有对打了我们身份不同的嘛我做过他的教练可以拿着东西让他打来练习不过他和元彪洪金宝就经常一起切磋的而且他还表示在当时的三人中成龙是实战最强的那一个因为他的西洋拳功底很好很擅长一动头之类的闪躲元彪能跟上成龙的节奏但是抗击打能力不强洪金宝力量很足但是又没有成龙快综合来看年轻的时候成龙是最强的那一个洪金宝卢惠光和洪金宝的私人关系非常好他也非常尊敬这位大哥大在卢惠光没有工开的时候洪金宝还曾帮他联系广告让他拍摄对于洪金宝卢惠光的评价是洪金宝的力量很大的两百多磅的他一脚踢出来被他踢中你就死定了在片场的时候经常是他和武行试动作结果他一脚下去带着护具的武行直接飞出去的拍他的戏的时候经常会看到那些小武行被他踢的飞来飞去的他的脚很重的而且虽然他没有成龙和元彪那么灵活但是也很厉害翻跟头之类的动作都是自己来在他那个重量级里面他应该是比较灵活的了总之和他打就是不要被打到被打到就一定起不来了甄子丹卢惠光和甄子丹有过多次合作对于甄子丹的格斗技巧卢大哥还是很肯定的大意就这样的甄子丹的功夫真的很强他是真的练过综合搏斗的嘛速度爆发力他都不吃亏实战技巧上又占优势如果是放到擂台上的话我赌他比其他人都厉害的不过他和元彪一样都是抗击打能力差一点如果打不出优势的话容易被拖垮李连杰卢惠光和李连杰也有过合作他说李连杰也是一个比较全能的力量速度爆发力都是一流在古装的时候他打的很潇洒也有连贯但是换成时装的话他会受限制赵文卓他说赵文卓的动作很快而且有力度对打的时候感觉很舒服不像有些演员打起来都是软绵绵的没意思但是他也指出了赵文卓的确定就是注重套路没有实战经验不是说他的动作不行是因为没有经验很容易露出破绽被人一下子打倒的如果给他反击的机会他一定行但是真的打的时候谁还会给你机会啊
零下一度雪,据说吴京在某集团军当兵体验生活的时候参加比武然后获得很多第一打破很多记录这么说吧如果是在室内赤手空拳可以打五个我如果是在室外拿着枪应该打十个我没有问题对了我是一米八体重一百七的胖汉早些年瘦的时候也是酷爱运动的篮球足球样样会一点的不是那种虚胖的弱鸡吭吭有知友说我是在讥讽吴京我想说真没有啊原本他在电影里怎么样厉害我以前是无感的可是后来听说他在部队训练的时候很厉害而我是真是知道特种兵厉害是什么程度的我有一个朋友姓兰曾是某海君特种部队的兵王据说他就很厉害我原本不信的可是后来亲眼看见他两三秒钟之内撂倒三个二十多岁的小伙子之后我信了特种兵确实厉害而且还是没有拿枪的情况下如果有枪有其他武器那不敢想象还有我有个同学的哥简称也是特种部队的某次带过的一个兵已退伍回到驻地去看他然后就带着去地方的酒吧喝酒据说在喝酒的过程中发现四周有几个年轻男人正悄悄地向他们合拢包围过去其中一个在靠近他们之时竟然从怀里掏出了一把手枪然后我同学的哥一刹那之间伸手向前在那把枪的某处一拽然后枪就散架了那枪被瞬间分解了原来是战友退伍后在地方犯了案逃到这里那些围上来的几个人全是准备抓捕的警察据说幸好当时那些人赶紧报出了身份不然他可能要弄翻几个回到正题吴京能在部队这么牛可以想象确实厉害关注我的文章微信公众号零下一度雪
南风寺山,要毁掉一个人就先把他捧上天捧成神然后用某件事或某个行为一下子把他打落尘埃我不会去探究吴京实战如何就像我也不会去探究李连杰成龙实战如何一样因为他给我的定位就是电影演员不是拳击手不是金腰带我会去电影院看吴京的电影是因为他在电影里展现了中国男人刚猛无畏的帅气是因为电影看起来精彩打斗也拳拳到肉过瘾至于他现实中实战如何我不关心我劝你们最好也不用去关心你们怎么不去追究马特达蒙是不是真的像谍影重重里那么能打
周卓,吴京在特种部队训练的时候部队挂过牌子向吴京同志学习致敬功夫明星和高手谁有这个待遇如果你们觉得特种部队练习的不是杀人术或者是假打那就当我没说吴京肯定比知乎在座各位都能打啊这有什么好质疑的除非你们几万人一起上吧哈哈
王白水,
观火酱,我在空军普通部队两年第一年集训伤到髂腰肌瘸了半年训练强度是重装越野我同学同年兵国家级健将运动员去陆军特种部队也是叫苦连连特战号召集体学习吴京什么水平是我想到训练量就头皮发麻的水平别说部队作秀越是名头大的刚去会被练得越惨像吴京这样盛名在外的武打明星怕是刚去体能被罚得厉害其实他三十多岁能跟上部队二十几的训练计划体能续航堪称恐怖了更别说在部队学了下狠手的技巧实战比练招式套路的肯定强不止一点半点这答案突然火了补充一条部队训练量可怕之处主要体现在非人不是多强多牛而是要突破你的耐力极限且不考虑人体耐受能力才不管你以后伤病不我前年有机会采访杨利伟将军聊到航校训练他说当时在石飞院一群大小伙子被训得尿血至今仍感觉是这么多年来训练最苦的经历有人说我答非所问问题是实战如何实战就要考虑各种气候环境和人为因素至少吴京作为得到特战肯定学过各项科目的人把他扔到下着大雨或者起着雾的荒山野岭去和敌人作战肯定比其他八竿子打不着的格斗高手或者武打明星强我上个月看六公主重播战狼深感吴京匍匐和射击学得好救排长那段匍匐前进真的棒估计在部队钢丝绳底下没少滚
DY黑脚,实战吴京披上了战术背心防弹插板戴上凯夫拉多谢评论指正头盔检查所有枪支上膛待机关保险最后再往多功能袋里塞了两个手雷拿着迷彩笔问道战场是啥环境丛林沙漠
汗青,有一说一吴京的实战能力在特种兵里应该都是优秀的徒手格斗不用说了这么多年的专业武术运动员运动生涯身体各项素质远优于普通人也优于绝大多数军人在特战队集训期间创造了所在部队的公斤圆木米冲刺记录公斤弹药箱米冲刺记录本身就有武术训练的底子进入部队稍加实战训练适应过后表现肯定优于绝大多数军人底子在那儿摆着集训后受到军区大会嘉奖和表扬这都是有据可查的事儿枪械科目有多个视频可以看见各路军事博主都是夸这也没法糊弄真要说军队技能恐怕也就团队战术和配合会弱一些毕竟没有在一个部队服役太长时间没有机会来进行这些科目的长期训练和磨合不能和真正服役了足够时间的老兵比但是单兵作战能力肯定在特种兵里都是优秀那一批的
不改白不改,我不咋懂格斗所以在这类问题下连点赞都诚惶诚恐答题更是如履薄冰怕被各种大佬喷不过我发现一个有意思的事儿那就是什么是实战大致有两种观点只要不是打套路不是摆架子不是打桩子到了擂台上八角笼里同量级徒手格斗按照一定的规则这就叫实战格斗爱好者往往倾向于这个概念在现实大多数场景下不受竞技格斗规则限制的情况下但可能会有其他限制不同量级人数不确定的时候发生战斗这才叫实战普通人好像更倾向于这个概念我也是如果是第一种情况理解的实战我觉得没什么好说的格斗爱好者们的答案往往都正确应该是足够大家学习了有句话叫别拿你的爱好挑战别人的饭碗这句话很适用但如果是第二种理解那恐怕就不一样了有意思的是格斗爱好者往往会说不限规则你也打不过职业运动员他们手比你快插眼踢裆人家比你灵活然而我却不能同意不是不同意那句话而是他们把上面的实战理解的过于简单了把那一系列条件都简化成了插眼踢裆实际上按第二种理解的实战包括的内容非常之多包括但不限于大环境包括自然环境比如格斗的场景是哪里草原上森林里公路上电梯里商场中河边人文环境如何比如父亲追打逃窜的不孝儿子一般不会真的打伤再比如众目睽睽之下不能先行挑衅再比如双方约定比武就不能随手抄起板砖拍人政治环境如何比如在我国警察抓捕嫌疑人除非对方有武器或者是恶性犯罪否则不宜使用杀伤性较强的武器比如手枪电棍比如解救被拐儿童被村民包围杀出一条血路恐怕也不是什么好选择人员状态是还是还是对方体重如何擅长跑步吗你有没有伤病对方是否有可能携带武器微环境小范围的环境怎么样周围有没有可能的武器如果不敌逃跑路线是哪些双方的接触距离有多远冲突情况什么引发的矛盾双方的意图是什么是要命还是打残还是给个教训还是干脆吓唬人谁先挑衅挑衅对峙期间是否可能突然动手剩下的才是格斗规则格斗能力问题比如一说格斗寝技确实厉害然而这东西如果你是就不大实用放到了一个压制住了别人足球踢你怎么办再比如正常城市环境下对面一群拿着砍刀的人打算砍你谁最适合这种场景下格斗不是各种格斗冠军是刘翔他直接跑就完事了那种环境下博尔特都未必追得上他毕竟他可以来回翻交通护栏长枪当然是近战冷兵器之王那咋没人打架用这个呢某些地方宗族械斗除外因为人文环境和政治环境不允许这东西强是强太惊世骇俗了所以九节鞭判官笔之类的东西才会应运而生因为九节鞭可以缠腰上判官笔杀伤力有限现在也有类似的兵器比如指虎比如战术手电筒这俩玩意在冷兵器里肯定不算强者但是方便携带隐蔽啊起码比徒手强吧凶杀案用的最多的凶器是什么是锤子因为看起来人畜无害就是个工具容易得到你就拿着上地铁也没人怕你其次呢是匕首虽然很吓人但是很隐蔽可以藏起来你听说几起被长枪捅死被弓弩射死的凶杀案实际上比如在美国手枪犯罪比步枪犯罪多也是这个原因当然鉴于枪支的特点步枪可以比较容易的一次完成杀所以大案基本都是步枪干的以至于冲突的情况现实生活中也是不同的大部分冲突要么是无意冲突呛火要么是有宿怨寻仇这跟为了钱打擂台完全是两码事后者要观赏性要公平前者不要公平要争一口气要报仇雪恨所以最好能偷袭就偷袭这些是专业练格斗的人不去专业学习的比如俩人碰了一下口角了几句如何判断对方的意图是想和我打架还是和我说理是打算单挑还是打电话摇人还是打算报警格斗高手距离感好结果在拳脚范围外你这边打算讲理不料对面的泼皮无赖一碗滚烫的砂锅豆腐扬过来然后顺手从烧烤摊子上抓了一把烧烤铁签子冲向你就捅一手还拎了个啤酒瓶子而你这边毫无防备胜负结果是什么大概很清楚这就是真正生活中的实战如果是这种情况我觉得有一个人实战能力挺强就是陈师行道长一般人打不过他能打得过的跑不过他就算能跑过他翻围墙护栏啥的肯定没他快各种长短兵器基本都会用说白了就是抄酒瓶子也比一般人用得好拳法腿法也都可以他在这种实战的能力恐怕是顶尖的所谓特种兵特警甚至于普通的步兵更能打指的也是这点就像说某人看房就俩人时被中介见财起意从后面捅死了这种事情放到特种兵身上基本不会出现不是他手快能挡住背后的刀子而是他大概率不会让人走到他的后面距离还特别近而我们面对这样的情况最好的办法是别露财而不是多能打
